location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Guadeloupe,,Confirmed (per 100k),13.246,1.500,0.113,1.860,4,5,9,1
Singapore,,Confirmed (per 100k),136.983,9.904,0.072302,5.102,5,2,7,0
Djibouti,,Confirmed (per 100k),85.628,9.138,0.107,4.027,5,2,7,-2
Cabo Verde,,Confirmed (per 100k),12.051,1.362,0.113,3.671,4,3,7,-1
Martinique,,Confirmed (per 100k),8.527,0.761,0.089286,2.897,3,4,7,0
Reunion,,Confirmed (per 100k),5.026,0.367,0.073016,2.197,3,4,7,3
Ireland,,Confirmed (per 100k),316.984,16.190,0.051075,11.037,5,1,6,0
Qatar,,Confirmed (per 100k),208.778,12.243,0.058639,7.956,5,1,6,0
United Kingdom,,Confirmed (per 100k),183.754,7.531,0.040985,13.732,5,1,6,0
"Bermuda, United Kingdom",,Confirmed (per 100k),138.090,6.652,0.048173,12.270,5,1,6,0
Bahrain,,Confirmed (per 100k),112.073,6.255,0.055809,10.492,5,1,6,0
Russia,,Confirmed (per 100k),32.289,2.651,0.082108,4.854,4,2,6,0
Saudi Arabia,,Confirmed (per 100k),30.114,2.011,0.066768,6.341,4,2,6,1
Oman,,Confirmed (per 100k),27.611,1.866,0.067579,6.905,4,2,6,0
San Marino,,Confirmed (per 100k),1361.587,44.207,0.032468,18.637,5,0,5,0
Andorra,,Confirmed (per 100k),927.975,13.867,0.014943,43.681,5,0,5,0
Luxembourg,,Confirmed (per 100k),568.391,6.139,0.010801,61.451,5,0,5,0
Spain,,Confirmed (per 100k),428.213,9.729,0.022721,27.655,5,0,5,0
"Isle of Man, United Kingdom",,Confirmed (per 100k),352.804,11.760,0.033333,18.683,5,0,5,-1
Belgium,,Confirmed (per 100k),344.990,10.908,0.031617,18.600,5,0,5,0
Italy,,Confirmed (per 100k),299.740,5.342,0.017822,35.934,5,0,5,0
US,,Confirmed (per 100k),236.955,8.795,0.037115,15.582,5,0,5,0
"Quebec, Canada",,Confirmed (per 100k),226.279,8.540,0.037742,14.697,5,0,5,-1
Portugal,,Confirmed (per 100k),204.605,5.073,0.024794,24.580,5,0,5,1
