location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Bledsoe, Tennessee",47007,Confirmed (per 100k),3883.431,547.189,0.141,0.786,5,5,10,6
"Dakota, Nebraska",31043,Confirmed (per 100k),1228.403,169.066,0.138,1.834,5,5,10,0
"Lake, Tennessee",47095,Confirmed (per 100k),655.644,85.519,0.130,1.034,5,5,10,10
"Southampton, Virginia",51175,Confirmed (per 100k),425.387,55.098,0.130,1.926,5,5,10,3
"Guadalupe, New Mexico",35019,Confirmed (per 100k),162.791,23.256,0.143,1.205,5,5,10,0
"Haskell, Kansas",20081,Confirmed (per 100k),151.210,21.601,0.143,1.357,5,5,10,1
"Cass, Illinois",17017,Confirmed (per 100k),139.952,19.993,0.143,1.169,5,5,10,0
"Hickman, Tennessee",47081,Confirmed (per 100k),79.434,10.213,0.129,1.475,5,5,10,6
"Hartley, Texas",48205,Confirmed (per 100k),71.736,10.248,0.143,1.357,5,5,10,2
"Lewis, Missouri",29111,Confirmed (per 100k),61.375,8.768,0.143,1.239,5,5,10,0
"Wheeler, Texas",48483,Confirmed (per 100k),59.335,8.476,0.143,0.756,5,5,10,0
"Pulaski, Indiana",18131,Confirmed (per 100k),56.666,6.939,0.122,1.475,5,5,10,10
"Hickman, Kentucky",21105,Confirmed (per 100k),45.662,6.523,0.143,1.357,5,5,10,0
"Highland, Virginia",51091,Confirmed (per 100k),45.662,6.523,0.143,1.710,5,5,10,0
"Mineral, Nevada",32021,Confirmed (per 100k),44.395,6.342,0.143,1.710,5,5,10,0
"Humboldt, Iowa",19091,Confirmed (per 100k),41.850,5.979,0.143,1.179,5,5,10,1
"Lincoln, Arkansas",5079,Confirmed (per 100k),5428.440,672.385,0.124,2.486,5,4,9,-1
"Seward, Kansas",20175,Confirmed (per 100k),1358.036,178.005,0.131,2.072,5,4,9,-1
"Dawson, Nebraska",31047,Confirmed (per 100k),1301.123,171.344,0.132,2.727,5,4,9,0
"Nobles, Minnesota",27105,Confirmed (per 100k),1192.843,162.480,0.136,2.037,5,4,9,-1
"Richmond, Virginia",51159,Confirmed (per 100k),731.464,91.829,0.126,2.794,5,4,9,-1
"Cass, Indiana",18017,Confirmed (per 100k),676.590,77.704,0.115,2.712,5,4,9,1
"Finney, Kansas",20055,Confirmed (per 100k),444.237,52.885,0.119,2.171,5,4,9,2
"Texas, Oklahoma",40139,Confirmed (per 100k),295.251,35.745,0.121,2.591,5,4,9,1
"Kearny, Kansas",20093,Confirmed (per 100k),260.552,33.500,0.129,2.021,5,4,9,-1
"Warren, Illinois",17187,Confirmed (per 100k),219.663,29.684,0.135,2.290,5,4,9,-1
"Alpena, Michigan",26007,Confirmed (per 100k),211.230,29.170,0.138,2.157,5,4,9,-1
"Poweshiek, Iowa",19157,Confirmed (per 100k),210.765,24.705,0.117,2.191,5,4,9,2
"Woodbury, Iowa",19193,Confirmed (per 100k),183.305,22.723,0.124,2.196,5,4,9,0
"Saline, Nebraska",31151,Confirmed (per 100k),182.790,23.100,0.126,2.409,5,4,9,-1
"Pine, Minnesota",27115,Confirmed (per 100k),145.373,16.421,0.113,2.225,5,4,9,3
"Grayson, Kentucky",21085,Confirmed (per 100k),140.008,15.677,0.112,2.962,5,4,9,1
"Madison, Nebraska",31119,Confirmed (per 100k),133.907,16.280,0.122,2.200,5,4,9,3
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,2.631,5,4,9,6
"East Carroll, Louisiana",22035,Confirmed (per 100k),87.451,10.411,0.119,2.409,5,4,9,-1
"Sheridan, Kansas",20179,Confirmed (per 100k),79.334,11.333,0.143,2.758,5,4,9,-1
"Williams, Ohio",39171,Confirmed (per 100k),76.311,8.566,0.112,2.726,5,4,9,2
"Robeson, North Carolina",37155,Confirmed (per 100k),65.072,7.109,0.109,2.731,5,4,9,2
"Jackson, Minnesota",27063,Confirmed (per 100k),60.938,7.255,0.119,2.688,5,4,9,3
"Polk, Minnesota",27119,Confirmed (per 100k),60.579,7.743,0.128,2.368,5,4,9,-1
"Knox, Illinois",17095,Confirmed (per 100k),48.291,6.036,0.125,2.808,5,4,9,1
"Cimarron, Oklahoma",40025,Confirmed (per 100k),46.795,6.685,0.143,2.409,5,4,9,-1
"Parmer, Texas",48369,Confirmed (per 100k),41.645,5.949,0.143,2.060,5,4,9,0
"Carroll, Missouri",29033,Confirmed (per 100k),34.566,4.938,0.143,0.756,4,5,9,0
"Kandiyohi, Minnesota",27067,Confirmed (per 100k),27.778,3.307,0.119,1.639,4,5,9,5
"Hardin, Illinois",17069,Confirmed (per 100k),26.171,3.739,0.143,1.710,4,5,9,0
"Wells, North Dakota",38103,Confirmed (per 100k),26.082,3.726,0.143,1.710,4,5,9,0
"Mississippi, Missouri",29133,Confirmed (per 100k),22.762,3.252,0.143,1.239,4,5,9,0
"Fillmore, Nebraska",31059,Confirmed (per 100k),18.308,2.615,0.143,1.710,4,5,9,0
"Lander, Nevada",32015,Confirmed (per 100k),18.077,2.582,0.143,1.710,4,5,9,0
"Cherokee, Iowa",19035,Confirmed (per 100k),17.802,2.543,0.143,1.357,4,5,9,0
"Brooks, Texas",48047,Confirmed (per 100k),14.098,2.014,0.143,1.710,4,5,9,0
"Patrick, Virginia",51141,Confirmed (per 100k),11.358,1.623,0.143,1.357,4,5,9,1
"Pickaway, Ohio",39129,Confirmed (per 100k),2841.405,344.087,0.121,3.897,5,3,8,-1
"Ford, Kansas",20057,Confirmed (per 100k),1041.078,113.031,0.109,3.412,5,3,8,0
"Lyon, Kansas",20111,Confirmed (per 100k),524.175,54.225,0.103,3.851,5,3,8,1
"Jasper, Illinois",17079,Confirmed (per 100k),426.639,55.002,0.129,3.388,5,3,8,-1
"Black Hawk, Iowa",19013,Confirmed (per 100k),403.877,42.674,0.106,3.731,5,3,8,0
"Gosper, Nebraska",31073,Confirmed (per 100k),402.010,50.251,0.125,3.901,5,3,8,-1
"Kent, Maryland",24029,Confirmed (per 100k),344.970,38.984,0.113,3.014,5,3,8,-1
"Accomack, Virginia",51001,Confirmed (per 100k),309.444,31.829,0.103,3.628,5,3,8,1
"Brown, Wisconsin",55009,Confirmed (per 100k),228.697,22.951,0.100,3.687,5,3,8,1
"Jefferson, Illinois",17081,Confirmed (per 100k),212.292,26.157,0.123,3.066,5,3,8,-2
"Falls Church, Virginia",51610,Confirmed (per 100k),171.034,22.479,0.131,3.469,5,3,8,-1
"Lee, North Carolina",37105,Confirmed (per 100k),148.918,14.337,0.096273,3.791,5,3,8,1
"Putnam, Ohio",39137,Confirmed (per 100k),144.709,15.188,0.105,3.396,5,3,8,-1
"Ohio, Kentucky",21183,Confirmed (per 100k),141.702,14.885,0.105,3.774,5,3,8,1
"Howard, Nebraska",31093,Confirmed (per 100k),139.643,15.516,0.111,3.106,5,3,8,-2
"Northampton, Virginia",51131,Confirmed (per 100k),128.096,12.200,0.095238,3.871,5,3,8,3
"Allegany, Maryland",24001,Confirmed (per 100k),127.812,12.984,0.102,3.758,5,3,8,1
"Page, Virginia",51139,Confirmed (per 100k),125.513,11.954,0.095238,3.871,5,3,8,1
"Dodge, Nebraska",31053,Confirmed (per 100k),117.599,12.112,0.103,3.353,5,3,8,3
"Iosco, Michigan",26069,Confirmed (per 100k),115.414,11.939,0.103,3.438,5,3,8,1
"Fairfax City, Virginia",51600,Confirmed (per 100k),108.248,14.274,0.132,3.512,5,3,8,-1
"Missaukee, Michigan",26113,Confirmed (per 100k),92.605,10.394,0.112,3.170,5,3,8,-1
"Walker, Georgia",13295,Confirmed (per 100k),84.574,9.420,0.111,3.439,5,3,8,-1
"Presque Isle, Michigan",26141,Confirmed (per 100k),71.474,7.942,0.111,3.106,5,3,8,1
"Henderson, Illinois",17071,Confirmed (per 100k),60.187,6.449,0.107,3.570,5,3,8,1
"Sherman, Kansas",20181,Confirmed (per 100k),50.701,4.829,0.095238,2.758,4,4,8,8
"Hamilton, Iowa",19079,Confirmed (per 100k),47.384,4.835,0.102,2.409,4,4,8,8
"Crockett, Tennessee",47033,Confirmed (per 100k),42.164,6.023,0.143,3.686,5,3,8,-1
"Edwards, Kansas",20047,Confirmed (per 100k),35.740,5.106,0.143,3.106,5,3,8,-2
"Seward, Nebraska",31159,Confirmed (per 100k),34.714,4.133,0.119,2.967,4,4,8,1
"Gray, Kansas",20069,Confirmed (per 100k),33.400,4.771,0.143,2.060,4,4,8,1
"Houston, Texas",48225,Confirmed (per 100k),26.123,3.732,0.143,2.526,4,4,8,1
"Lea, New Mexico",35025,Confirmed (per 100k),14.071,1.608,0.114,2.322,4,4,8,2
"Marion, Missouri",29127,Confirmed (per 100k),14.020,2.003,0.143,2.235,4,4,8,-1
"Wayne, Illinois",17191,Confirmed (per 100k),12.334,1.762,0.143,2.409,4,4,8,2
"Howard, Texas",48227,Confirmed (per 100k),10.910,1.169,0.107,2.177,4,4,8,8
"White, Illinois",17193,Confirmed (per 100k),7.387,1.055,0.143,2.409,4,4,8,-1
"Pennington, Minnesota",27113,Confirmed (per 100k),7.083,1.012,0.143,2.409,4,4,8,-1
"Marion, Ohio",39101,Confirmed (per 100k),3332.156,382.091,0.115,5.016,5,2,7,-1
"Hall, Nebraska",31079,Confirmed (per 100k),1196.356,113.395,0.094784,5.217,5,2,7,0
"McKinley, New Mexico",35031,Confirmed (per 100k),895.372,74.865,0.083613,5.729,5,2,7,0
"Moore, Texas",48341,Confirmed (per 100k),888.252,75.727,0.085253,5.797,5,2,7,0
"Marshall, Iowa",19127,Confirmed (per 100k),688.359,71.122,0.103,4.539,5,2,7,-1
"Saline, Missouri",29195,Confirmed (per 100k),623.874,55.860,0.089537,4.504,5,2,7,0
"Leake, Mississippi",28079,Confirmed (per 100k),596.858,47.648,0.079832,5.921,5,2,7,0
"Butts, Georgia",13035,Confirmed (per 100k),505.294,49.269,0.097506,4.666,5,2,7,-1
"Wayne, North Carolina",37191,Confirmed (per 100k),489.722,41.419,0.084577,6.985,5,2,7,-1
"Apache, Arizona",4001,Confirmed (per 100k),411.757,30.802,0.074807,6.686,5,2,7,0
"Jackson, West Virginia",54035,Confirmed (per 100k),405.935,37.994,0.093596,5.812,5,2,7,0
"Neshoba, Mississippi",28099,Confirmed (per 100k),398.379,34.343,0.086207,5.429,5,2,7,0
"Attala, Mississippi",28007,Confirmed (per 100k),374.161,29.084,0.077731,6.091,5,2,7,0
"Moniteau, Missouri",29135,Confirmed (per 100k),365.733,35.422,0.096852,5.607,5,2,7,-2
"Habersham, Georgia",13137,Confirmed (per 100k),364.013,31.831,0.087446,5.108,5,2,7,-1
"Hamilton, Nebraska",31081,Confirmed (per 100k),343.200,27.579,0.080357,5.962,5,2,7,0
"Emporia, Virginia",51595,Confirmed (per 100k),336.700,26.722,0.079365,5.677,5,2,7,1
"Monroe, Mississippi",28095,Confirmed (per 100k),331.896,23.909,0.072039,6.990,5,2,7,0
"Crawford, Michigan",26039,Confirmed (per 100k),327.892,24.439,0.074534,6.434,5,2,7,1
"Chaffee, Colorado",8015,Confirmed (per 100k),324.229,21.756,0.067100,6.915,5,2,7,1
"Panola, Texas",48365,Confirmed (per 100k),323.359,24.021,0.074286,6.294,5,2,7,0
"Appling, Georgia",13001,Confirmed (per 100k),288.263,27.195,0.094340,4.179,5,2,7,-1
"Orange, Indiana",18117,Confirmed (per 100k),285.045,23.269,0.081633,5.191,5,2,7,1
"Pulaski, Illinois",17153,Confirmed (per 100k),281.162,24.100,0.085714,5.577,5,2,7,0
"Bedford, Tennessee",47003,Confirmed (per 100k),277.593,28.162,0.101,4.404,5,2,7,-1
"Clarke, Mississippi",28023,Confirmed (per 100k),276.687,20.223,0.073090,6.736,5,2,7,1
"Marshall, Alabama",1095,Confirmed (per 100k),275.901,21.405,0.077582,6.407,5,2,7,0
"Manassas Park, Virginia",51685,Confirmed (per 100k),251.745,18.799,0.074675,6.368,5,2,7,0
"Sussex, Virginia",51183,Confirmed (per 100k),250.919,21.763,0.086735,5.068,5,2,7,0
"Grand Forks, North Dakota",38035,Confirmed (per 100k),244.777,30.237,0.124,4.355,5,2,7,-1
"Newton, Mississippi",28101,Confirmed (per 100k),242.649,21.750,0.089636,4.800,5,2,7,0
"San Juan, Utah",49037,Confirmed (per 100k),241.704,18.664,0.077220,6.960,5,2,7,0
"Chatham, North Carolina",37037,Confirmed (per 100k),240.365,18.032,0.075020,6.638,5,2,7,1
"Graves, Kentucky",21083,Confirmed (per 100k),238.824,23.384,0.097913,5.100,5,2,7,-1
"Colonial Heights, Virginia",51570,Confirmed (per 100k),236.039,18.094,0.076655,6.800,5,2,7,0
"Madison, Florida",12079,Confirmed (per 100k),221.706,16.995,0.076655,6.137,5,2,7,0
"Rockingham, Virginia",51165,Confirmed (per 100k),214.770,16.212,0.075487,6.445,5,2,7,0
"Wicomico, Maryland",24045,Confirmed (per 100k),214.267,16.408,0.076577,6.830,5,2,7,0
"Walker, Texas",48471,Confirmed (per 100k),206.932,16.445,0.079470,5.728,5,2,7,0
"Lawrence, Mississippi",28077,Confirmed (per 100k),206.579,15.891,0.076923,6.579,5,2,7,0
"Jasper, Iowa",19099,Confirmed (per 100k),196.316,17.288,0.088063,4.959,5,2,7,0
"Hancock, Georgia",13141,Confirmed (per 100k),189.192,16.892,0.089286,4.774,5,2,7,0
"Potter, Texas",48375,Confirmed (per 100k),188.221,14.600,0.077569,6.238,5,2,7,0
"Culpeper, Virginia",51047,Confirmed (per 100k),171.086,15.751,0.092063,4.963,5,2,7,0
"Jefferson Davis, Mississippi",28065,Confirmed (per 100k),170.740,14.121,0.082707,4.812,5,2,7,1
"Grant, Indiana",18053,Confirmed (per 100k),170.293,14.119,0.082908,6.259,5,2,7,0
"Douglas, Washington",53017,Confirmed (per 100k),158.880,11.513,0.072464,6.658,5,2,7,1
"Clay, Minnesota",27027,Confirmed (per 100k),155.710,12.457,0.080000,5.786,5,2,7,1
"Turner, South Dakota",46125,Confirmed (per 100k),155.057,13.631,0.087912,4.670,5,2,7,-1
"Hendry, Florida",12051,Confirmed (per 100k),152.301,11.219,0.073661,6.894,5,2,7,1
"Prince Edward, Virginia",51147,Confirmed (per 100k),149.110,10.651,0.071429,5.844,5,2,7,3
"Taylor, Texas",48441,Confirmed (per 100k),147.065,11.798,0.080225,6.421,5,2,7,0
"Gray, Texas",48179,Confirmed (per 100k),146.212,10.444,0.071429,6.232,5,2,7,1
"Nez Perce, Idaho",16069,Confirmed (per 100k),143.536,10.253,0.071429,6.507,5,2,7,0
"Desha, Arkansas",5041,Confirmed (per 100k),140.833,12.574,0.089286,4.219,5,2,7,2
"Putnam, Georgia",13237,Confirmed (per 100k),140.151,10.980,0.078341,6.864,5,2,7,1
"Kent, Michigan",26081,Confirmed (per 100k),137.909,10.351,0.075055,6.370,5,2,7,0
"Itawamba, Mississippi",28057,Confirmed (per 100k),136.811,11.604,0.084821,6.323,5,2,7,0
"Simpson, Mississippi",28127,Confirmed (per 100k),135.044,11.790,0.087302,5.822,5,2,7,0
"Warren, Indiana",18171,Confirmed (per 100k),133.091,10.371,0.077922,5.769,5,2,7,1
"Barbour, Alabama",1005,Confirmed (per 100k),129.628,9.838,0.075893,6.946,5,2,7,0
"Williamsburg, South Carolina",45089,Confirmed (per 100k),125.132,8.938,0.071429,6.615,5,2,7,2
"Warren, Kentucky",21227,Confirmed (per 100k),124.157,10.105,0.081385,5.708,5,2,7,1
"Polk, Iowa",19153,Confirmed (per 100k),117.308,8.685,0.074037,6.453,5,2,7,1
"Deaf Smith, Texas",48117,Confirmed (per 100k),113.232,7.703,0.068027,6.648,5,2,7,3
"Saluda, South Carolina",45081,Confirmed (per 100k),112.343,9.769,0.086957,4.893,5,2,7,0
"Boone, Illinois",17007,Confirmed (per 100k),112.057,10.405,0.092857,4.657,5,2,7,0
"Dillon, South Carolina",45033,Confirmed (per 100k),111.552,10.780,0.096639,4.648,5,2,7,0
"Union, Georgia",13291,Confirmed (per 100k),110.155,9.908,0.089947,4.783,5,2,7,0
"Norman, Minnesota",27107,Confirmed (per 100k),109.804,11.204,0.102,4.497,5,2,7,-1
