location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Bledsoe, Tennessee",47007,Confirmed (per 100k),3890.069,548.137,0.141,1.501,5,5,10,0
"Logan, Colorado",8075,Confirmed (per 100k),950.511,124.950,0.131,0.841,5,5,10,4
"Lake, Tennessee",47095,Confirmed (per 100k),684.151,89.591,0.131,1.678,5,5,10,0
"Page, Virginia",51139,Confirmed (per 100k),343.068,41.240,0.120,1.546,5,5,10,3
"Woodbury, Iowa",19193,Confirmed (per 100k),306.478,38.933,0.127,1.819,5,5,10,1
"Guadalupe, New Mexico",35019,Confirmed (per 100k),279.070,36.545,0.131,1.325,5,5,10,0
"Haskell, Kansas",20081,Confirmed (per 100k),176.411,25.202,0.143,1.810,5,5,10,0
"Mississippi, Missouri",29133,Confirmed (per 100k),174.507,24.930,0.143,0.476,5,5,10,1
"Cass, Illinois",17017,Confirmed (per 100k),172.882,24.697,0.143,1.576,5,5,10,0
"Harding, New Mexico",35021,Confirmed (per 100k),160.000,22.857,0.143,1.710,5,5,10,0
"Hickman, Tennessee",47081,Confirmed (per 100k),158.869,21.561,0.136,1.189,5,5,10,0
"Pulaski, Indiana",18131,Confirmed (per 100k),72.857,9.252,0.127,1.710,5,5,10,1
"Kandiyohi, Minnesota",27067,Confirmed (per 100k),64.816,8.598,0.133,1.083,5,5,10,5
"Lewis, Missouri",29111,Confirmed (per 100k),61.375,8.768,0.143,1.943,5,5,10,0
"Wheeler, Texas",48483,Confirmed (per 100k),59.335,8.476,0.143,1.475,5,5,10,0
"Wells, North Dakota",38103,Confirmed (per 100k),52.165,7.452,0.143,1.357,5,5,10,1
"Clark, Kansas",20025,Confirmed (per 100k),50.150,7.164,0.143,1.710,5,5,10,0
"Greeley, Nebraska",31077,Confirmed (per 100k),42.445,6.064,0.143,1.710,5,5,10,0
"Humboldt, Iowa",19091,Confirmed (per 100k),41.850,5.979,0.143,1.885,5,5,10,1
"Kiowa, Kansas",20097,Confirmed (per 100k),40.404,5.772,0.143,1.710,5,5,10,0
"Cochran, Texas",48079,Confirmed (per 100k),35.051,5.007,0.143,1.710,5,5,10,0
"Dakota, Nebraska",31043,Confirmed (per 100k),1657.845,221.141,0.133,2.010,5,4,9,-1
"Nobles, Minnesota",27105,Confirmed (per 100k),1502.612,190.881,0.127,2.376,5,4,9,-1
"Seward, Kansas",20175,Confirmed (per 100k),1465.372,186.005,0.127,2.664,5,4,9,-1
"Richmond, Virginia",51159,Confirmed (per 100k),875.540,112.411,0.128,2.910,5,4,9,0
"Cass, Indiana",18017,Confirmed (per 100k),835.788,99.688,0.119,2.728,5,4,9,0
"Accomack, Virginia",51001,Confirmed (per 100k),451.789,49.953,0.111,2.872,5,4,9,1
"Finney, Kansas",20055,Confirmed (per 100k),444.237,51.318,0.116,2.947,5,4,9,-1
"Southampton, Virginia",51175,Confirmed (per 100k),425.387,53.477,0.126,2.695,5,4,9,-1
"Texas, Oklahoma",40139,Confirmed (per 100k),340.289,42.179,0.124,2.835,5,4,9,0
"Kearny, Kansas",20093,Confirmed (per 100k),286.608,37.222,0.130,2.479,5,4,9,-1
"Poweshiek, Iowa",19157,Confirmed (per 100k),270.212,32.425,0.120,2.276,5,4,9,2
"Saline, Nebraska",31151,Confirmed (per 100k),267.154,34.148,0.128,2.204,5,4,9,0
"Warren, Illinois",17187,Confirmed (per 100k),261.221,33.925,0.130,2.654,5,4,9,-1
"Alpena, Michigan",26007,Confirmed (per 100k),211.230,29.170,0.138,2.854,5,4,9,-1
"Madison, Nebraska",31119,Confirmed (per 100k),156.700,19.537,0.125,2.468,5,4,9,-1
"Pine, Minnesota",27115,Confirmed (per 100k),152.135,16.904,0.111,2.848,5,4,9,0
"Hertford, North Carolina",37091,Confirmed (per 100k),135.152,15.084,0.112,2.465,5,4,9,2
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,2.631,5,4,9,6
"Hansford, Texas",48195,Confirmed (per 100k),74.088,7.938,0.107,2.409,5,4,9,3
"Hartley, Texas",48205,Confirmed (per 100k),71.736,10.248,0.143,2.060,5,4,9,-1
"Jones, Texas",48253,Confirmed (per 100k),64.731,7.113,0.110,2.409,5,4,9,6
"Polk, Minnesota",27119,Confirmed (per 100k),63.767,8.199,0.129,2.913,5,4,9,-1
"Knox, Illinois",17095,Confirmed (per 100k),62.376,7.474,0.120,2.892,5,4,9,0
"Hickman, Kentucky",21105,Confirmed (per 100k),45.662,6.523,0.143,2.060,5,4,9,-1
"Highland, Virginia",51091,Confirmed (per 100k),45.662,6.523,0.143,2.409,5,4,9,-1
"Mineral, Nevada",32021,Confirmed (per 100k),44.395,6.342,0.143,2.409,5,4,9,-1
"Parmer, Texas",48369,Confirmed (per 100k),41.645,5.949,0.143,2.758,5,4,9,0
"Dixon, Nebraska",31051,Confirmed (per 100k),35.486,5.069,0.143,2.060,5,4,9,2
"Carroll, Missouri",29033,Confirmed (per 100k),34.566,4.938,0.143,1.475,4,5,9,0
"Perry, Illinois",17145,Confirmed (per 100k),33.467,4.098,0.122,1.710,4,5,9,2
"Rice, Kansas",20159,Confirmed (per 100k),31.456,4.494,0.143,1.239,4,5,9,0
"Carlisle, Kentucky",21039,Confirmed (per 100k),21.008,3.001,0.143,1.710,4,5,9,0
"Jim Hogg, Texas",48247,Confirmed (per 100k),19.231,2.747,0.143,1.710,4,5,9,0
"Coos, Oregon",41011,Confirmed (per 100k),12.406,1.551,0.125,1.910,4,5,9,3
"Fulton, Arkansas",5049,Confirmed (per 100k),8.015,1.145,0.143,1.710,4,5,9,0
"Lincoln, Arkansas",5079,Confirmed (per 100k),5535.934,670.191,0.121,3.192,5,3,8,-2
"Dawson, Nebraska",31047,Confirmed (per 100k),1491.841,194.957,0.131,3.048,5,3,8,-1
"Ford, Kansas",20057,Confirmed (per 100k),1246.319,132.578,0.106,3.550,5,3,8,0
"Marshall, Iowa",19127,Confirmed (per 100k),876.324,95.071,0.108,3.998,5,3,8,1
"Black Hawk, Iowa",19013,Confirmed (per 100k),526.564,57.152,0.109,3.387,5,3,8,0
"Kent, Maryland",24029,Confirmed (per 100k),344.970,37.513,0.109,3.843,5,3,8,-1
"Brown, Wisconsin",55009,Confirmed (per 100k),272.169,27.865,0.102,3.667,5,3,8,1
"Jefferson, Illinois",17081,Confirmed (per 100k),212.292,25.778,0.121,3.812,5,3,8,-1
"Northampton, Virginia",51131,Confirmed (per 100k),170.794,18.299,0.107,3.153,5,3,8,1
"Howard, Nebraska",31093,Confirmed (per 100k),170.675,19.949,0.117,3.029,5,3,8,-2
"Lee, North Carolina",37105,Confirmed (per 100k),163.486,16.418,0.100,3.958,5,3,8,1
"Grayson, Kentucky",21085,Confirmed (per 100k),158.928,18.379,0.116,3.168,5,3,8,-1
"Putnam, Ohio",39137,Confirmed (per 100k),150.616,15.610,0.104,3.990,5,3,8,-1
"Allegany, Maryland",24001,Confirmed (per 100k),149.114,14.607,0.097959,3.995,5,3,8,0
"Dallas, Iowa",19049,Confirmed (per 100k),139.107,12.994,0.093407,3.777,5,3,8,3
"Dodge, Nebraska",31053,Confirmed (per 100k),123.069,12.893,0.105,3.823,5,3,8,-1
"Gilmer, Georgia",13123,Confirmed (per 100k),114.763,11.841,0.103,3.882,5,3,8,1
"Dallam, Texas",48111,Confirmed (per 100k),109.785,9.802,0.089286,3.385,5,3,8,4
