location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Pickaway, Ohio",39129,Confirmed (per 100k),2796.928,375.856,0.134,1.557,5,5,10,1
"Richmond, Virginia",51159,Confirmed (per 100k),587.388,72.830,0.124,1.140,5,5,10,5
"Nobles, Minnesota",27105,Confirmed (per 100k),466.966,64.728,0.139,1.688,5,5,10,0
"Seward, Kansas",20175,Confirmed (per 100k),448.012,60.002,0.134,1.951,5,5,10,0
"Jasper, Illinois",17079,Confirmed (per 100k),374.610,47.569,0.127,1.688,5,5,10,1
"Dakota, Nebraska",31043,Confirmed (per 100k),364.526,50.648,0.139,1.471,5,5,10,0
"Falls Church, Virginia",51610,Confirmed (per 100k),164.192,21.501,0.131,1.453,5,5,10,10
"Alpena, Michigan",26007,Confirmed (per 100k),123.218,17.100,0.139,1.063,5,5,10,0
"Fairfax City, Virginia",51600,Confirmed (per 100k),91.594,12.490,0.136,1.643,5,5,10,0
"Saline, Nebraska",31151,Confirmed (per 100k),77.334,11.048,0.143,1.837,5,5,10,0
"Furnas, Nebraska",31065,Confirmed (per 100k),42.772,6.110,0.143,1.710,5,5,10,0
"Crockett, Tennessee",47033,Confirmed (per 100k),42.164,6.023,0.143,1.592,5,5,10,0
"Alcona, Michigan",26001,Confirmed (per 100k),38.443,5.492,0.143,1.885,5,5,10,3
"Marion, Ohio",39101,Confirmed (per 100k),3275.314,443.761,0.135,2.341,5,4,9,-1
"Lincoln, Arkansas",5079,Confirmed (per 100k),1980.958,221.569,0.112,2.903,5,4,9,1
"Dawson, Nebraska",31047,Confirmed (per 100k),741.683,95.056,0.128,2.125,5,4,9,-1
"Marshall, Iowa",19127,Confirmed (per 100k),568.976,66.042,0.116,2.697,5,4,9,0
"Ford, Kansas",20057,Confirmed (per 100k),556.233,72.238,0.130,2.770,5,4,9,0
"Wayne, North Carolina",37191,Confirmed (per 100k),471.855,58.358,0.124,2.989,5,4,9,0
"Moniteau, Missouri",29135,Confirmed (per 100k),328.540,43.392,0.132,2.495,5,4,9,-1
"Gosper, Nebraska",31073,Confirmed (per 100k),301.508,35.894,0.119,2.828,5,4,9,-1
"Black Hawk, Iowa",19013,Confirmed (per 100k),278.904,31.352,0.112,2.804,5,4,9,1
"Grand Forks, North Dakota",38035,Confirmed (per 100k),205.901,26.946,0.131,2.702,5,4,9,-1
"Texas, Oklahoma",40139,Confirmed (per 100k),160.136,18.587,0.116,2.329,5,4,9,1
"Kearny, Kansas",20093,Confirmed (per 100k),104.221,11.167,0.107,2.177,5,4,9,9
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,2.631,5,4,9,6
"Warren, Illinois",17187,Confirmed (per 100k),89.052,11.026,0.124,2.463,5,4,9,-1
"Woodbury, Iowa",19193,Confirmed (per 100k),78.559,8.452,0.108,2.650,5,4,9,3
"Norman, Minnesota",27107,Confirmed (per 100k),78.431,11.204,0.143,2.409,5,4,9,-1
"Adams, Idaho",16003,Confirmed (per 100k),69.865,6.654,0.095238,2.758,5,4,9,9
"Hot Springs, Wyoming",56017,Confirmed (per 100k),67.981,6.474,0.095238,2.758,5,4,9,9
"Putnam, Ohio",39137,Confirmed (per 100k),64.972,8.438,0.130,2.967,5,4,9,-1
"Clay, Kansas",20027,Confirmed (per 100k),62.484,7.141,0.114,2.758,5,4,9,3
"Howard, Nebraska",31093,Confirmed (per 100k),62.064,8.866,0.143,2.060,5,4,9,-1
"Marion, Texas",48315,Confirmed (per 100k),60.889,8.698,0.143,2.060,5,4,9,2
"Norton, Virginia",51720,Confirmed (per 100k),50.239,7.177,0.143,2.060,5,4,9,-1
"Grundy, Iowa",19075,Confirmed (per 100k),49.052,5.839,0.119,2.549,5,4,9,1
"Nelson, North Dakota",38063,Confirmed (per 100k),34.734,4.962,0.143,1.710,4,5,9,0
"Woods, Oklahoma",40151,Confirmed (per 100k),34.118,4.874,0.143,1.239,4,5,9,0
"Harper, Oklahoma",40059,Confirmed (per 100k),27.115,3.874,0.143,1.710,4,5,9,0
"Hamilton, Illinois",17065,Confirmed (per 100k),24.643,3.520,0.143,1.357,4,5,9,0
"Haskell, Oklahoma",40061,Confirmed (per 100k),23.759,3.394,0.143,1.239,4,5,9,0
"Parmer, Texas",48369,Confirmed (per 100k),20.822,2.975,0.143,1.000,4,5,9,0
"Hartley, Texas",48205,Confirmed (per 100k),17.934,2.562,0.143,1.710,4,5,9,0
"Carson, Texas",48065,Confirmed (per 100k),16.875,2.411,0.143,1.710,4,5,9,0
"Fulton, Kentucky",21075,Confirmed (per 100k),16.753,2.393,0.143,1.710,4,5,9,0
"Gray, Kansas",20069,Confirmed (per 100k),16.700,2.386,0.143,1.710,4,5,9,0
"Bosque, Texas",48035,Confirmed (per 100k),16.056,2.294,0.143,1.710,4,5,9,3
"Thurston, Nebraska",31173,Confirmed (per 100k),13.843,1.978,0.143,1.710,4,5,9,0
"Childress, Texas",48075,Confirmed (per 100k),13.687,1.955,0.143,1.710,4,5,9,0
"Marshall, Minnesota",27089,Confirmed (per 100k),10.711,1.530,0.143,1.710,4,5,9,0
"Murray, Oklahoma",40099,Confirmed (per 100k),7.106,1.015,0.143,1.710,4,5,9,0
"Lyon, Kansas",20111,Confirmed (per 100k),334.388,33.998,0.102,3.591,5,3,8,1
"Cass, Indiana",18017,Confirmed (per 100k),283.902,29.944,0.105,3.476,5,3,8,0
"Habersham, Georgia",13137,Confirmed (per 100k),236.057,24.898,0.105,3.969,5,3,8,0
"Roberts, Texas",48393,Confirmed (per 100k),234.192,33.456,0.143,3.106,5,3,8,-2
"Sherman, Texas",48421,Confirmed (per 100k),231.635,33.091,0.143,3.007,5,3,8,-2
"Bedford, Tennessee",47003,Confirmed (per 100k),211.212,22.989,0.109,3.089,5,3,8,0
"Sussex, Virginia",51183,Confirmed (per 100k),206.112,19.203,0.093168,3.709,5,3,8,4
"Graves, Kentucky",21083,Confirmed (per 100k),182.472,21.084,0.116,3.309,5,3,8,-1
