location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Connecticut,,Confirmed (per 100k),630.216,30.909,0.049045,11.407,5,1,6,0
Massachusetts,,Confirmed (per 100k),623.054,26.998,0.043332,13.659,5,1,6,1
Rhode Island,,Confirmed (per 100k),551.370,34.927,0.063345,8.570,5,1,6,0
District of Columbia,,Confirmed (per 100k),454.269,20.424,0.044960,13.057,5,1,6,0
Delaware,,Confirmed (per 100k),328.622,17.399,0.052946,10.368,5,1,6,0
Illinois,,Confirmed (per 100k),277.048,11.853,0.042783,13.660,5,1,6,0
Maryland,,Confirmed (per 100k),244.389,11.208,0.045859,12.829,5,1,6,0
South Dakota,,Confirmed (per 100k),210.024,11.142,0.053052,10.898,5,1,6,0
Mississippi,,Confirmed (per 100k),164.441,7.363,0.044778,13.110,5,1,6,0
Ohio,,Confirmed (per 100k),120.771,7.728,0.063986,8.430,5,1,6,0
Virginia,,Confirmed (per 100k),120.274,6.303,0.052406,10.667,5,1,6,0
Iowa,,Confirmed (per 100k),118.793,7.937,0.066817,7.729,5,1,6,0
Nebraska,,Confirmed (per 100k),93.724,6.735,0.071862,7.162,5,1,6,-1
North Dakota,,Confirmed (per 100k),89.100,5.886,0.066064,8.145,5,1,6,0
New York,,Confirmed (per 100k),1353.439,35.864,0.026499,24.042,5,0,5,0
New Jersey,,Confirmed (per 100k),1079.846,40.022,0.037063,16.295,5,0,5,0
Louisiana,,Confirmed (per 100k),543.324,10.162,0.018704,34.822,5,0,5,0
Michigan,,Confirmed (per 100k),340.107,8.450,0.024844,25.430,5,0,5,0
Pennsylvania,,Confirmed (per 100k),281.847,10.410,0.036936,16.587,5,0,5,0
Georgia,,Confirmed (per 100k),199.804,8.378,0.041933,14.047,5,0,5,-1
Colorado,,Confirmed (per 100k),189.121,7.281,0.038498,15.438,5,0,5,0
Indiana,,Confirmed (per 100k),184.753,7.380,0.039947,15.150,5,0,5,0
New Mexico,,Confirmed (per 100k),105.397,4.946,0.046930,11.943,4,1,5,0
Kansas,,Confirmed (per 100k),80.012,4.055,0.050683,11.060,4,1,5,0
Wyoming,,Confirmed (per 100k),77.234,3.949,0.051135,10.177,4,1,5,1
Kentucky,,Confirmed (per 100k),75.610,3.735,0.049395,11.671,4,1,5,0
Arkansas,,Confirmed (per 100k),75.419,3.347,0.044376,12.473,4,1,5,1
Minnesota,,Confirmed (per 100k),48.266,2.313,0.047916,11.951,4,1,5,0
Washington,,Confirmed (per 100k),164.979,3.041,0.018433,35.565,4,0,4,0
Nevada,,Confirmed (per 100k),132.493,4.035,0.030455,20.318,4,0,4,0
Vermont,,Confirmed (per 100k),131.893,1.465,0.011109,60.585,4,0,4,0
Florida,,Confirmed (per 100k),131.806,3.856,0.029259,21.546,4,0,4,0
New Hampshire,,Confirmed (per 100k),116.790,4.717,0.040392,14.599,4,0,4,-2
Alabama,,Confirmed (per 100k),114.069,4.423,0.038773,15.406,4,0,4,0
Tennessee,,Confirmed (per 100k),108.271,3.278,0.030276,21.076,4,0,4,0
Utah,,Confirmed (per 100k),107.456,3.997,0.037197,16.201,4,0,4,0
Missouri,,Confirmed (per 100k),102.274,3.459,0.033820,18.356,4,0,4,0
Idaho,,Confirmed (per 100k),98.821,2.342,0.023702,27.314,4,0,4,0
California,,Confirmed (per 100k),94.513,3.853,0.040772,14.300,4,0,4,0
South Carolina,,Confirmed (per 100k),92.470,3.066,0.033156,18.663,4,0,4,0
Wisconsin,,Confirmed (per 100k),83.213,2.758,0.033142,18.424,4,0,4,0
Arizona,,Confirmed (per 100k),75.192,2.962,0.039388,15.361,4,0,4,0
Texas,,Confirmed (per 100k),73.531,2.667,0.036275,16.850,4,0,4,0
Oklahoma,,Confirmed (per 100k),73.137,2.278,0.031148,19.682,4,0,4,0
North Carolina,,Confirmed (per 100k),71.462,2.935,0.041075,14.490,4,0,4,0
Maine,,Confirmed (per 100k),67.474,1.456,0.021578,30.044,4,0,4,0
West Virginia,,Confirmed (per 100k),52.395,1.889,0.036057,16.986,4,0,4,-1
Oregon,,Confirmed (per 100k),48.818,1.341,0.027475,22.923,4,0,4,0
Puerto Rico,,Confirmed (per 100k),40.643,1.449,0.035659,17.386,4,0,4,0
Alaska,,Confirmed (per 100k),45.793,0.820,0.017910,36.406,3,0,3,0
Hawaii,,Confirmed (per 100k),41.812,0.686,0.016409,40.293,3,0,3,0
Montana,,Confirmed (per 100k),41.075,0.468,0.011390,59.164,3,0,3,0
Northern Mariana Islands,69000,Confirmed (per 100k),24.323,0.248,0.010204,66.195,3,0,3,0
