location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Marion, Ohio",39101,Confirmed (per 100k),2817.507,204.981,0.072753,1.182,5,5,10,0
"Ford, Kansas",20057,Confirmed (per 100k),377.763,43.343,0.115,1.806,5,5,10,0
"Wayne, North Carolina",37191,Confirmed (per 100k),376.022,35.850,0.095341,1.950,5,5,10,3
"Nobles, Minnesota",27105,Confirmed (per 100k),277.405,23.117,0.083333,0.771,5,5,10,2
"Moniteau, Missouri",29135,Confirmed (per 100k),241.756,28.338,0.117,1.423,5,5,10,1
"Roberts, Texas",48393,Confirmed (per 100k),234.192,33.456,0.143,1.000,5,5,10,0
"Seward, Kansas",20175,Confirmed (per 100k),219.339,21.334,0.097264,1.710,5,5,10,1
"Grand Forks, North Dakota",38035,Confirmed (per 100k),191.502,18.101,0.094522,1.187,5,5,10,4
"Dakota, Nebraska",31043,Confirmed (per 100k),144.812,15.694,0.108,0.868,5,5,10,1
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,1.932,5,5,10,7
"Putnam, Ohio",39137,Confirmed (per 100k),53.159,5.485,0.103,1.710,5,5,10,2
"Montmorency, Michigan",26119,Confirmed (per 100k),42.882,6.126,0.143,1.710,5,5,10,1
"Lincoln, Arkansas",5079,Confirmed (per 100k),852.273,108.591,0.127,2.769,5,4,9,1
"Pickaway, Ohio",39129,Confirmed (per 100k),815.984,61.339,0.075172,2.846,5,4,9,0
"Butler, Kentucky",21031,Confirmed (per 100k),566.814,66.554,0.117,2.037,5,4,9,-1
"Moore, Texas",48341,Confirmed (per 100k),506.208,53.213,0.105,2.883,5,4,9,1
"Jackson, Kentucky",21109,Confirmed (per 100k),412.634,42.871,0.104,2.549,5,4,9,-1
"Gosper, Nebraska",31073,Confirmed (per 100k),251.256,14.358,0.057143,2.758,5,4,9,9
"Habersham, Georgia",13137,Confirmed (per 100k),163.255,18.279,0.112,2.866,5,4,9,0
"Graves, Kentucky",21083,Confirmed (per 100k),136.854,13.800,0.101,2.332,5,4,9,0
"Bremer, Iowa",19017,Confirmed (per 100k),103.743,13.110,0.126,2.166,5,4,9,2
"Tyrrell, North Carolina",37177,Confirmed (per 100k),99.602,14.229,0.143,2.584,5,4,9,-1
"Polk, Nebraska",31143,Confirmed (per 100k),95.914,10.962,0.114,2.932,5,4,9,1
"Norman, Minnesota",27107,Confirmed (per 100k),62.745,4.482,0.071429,1.710,4,5,9,0
"Smith, Kansas",20183,Confirmed (per 100k),55.819,7.974,0.143,2.060,5,4,9,-1
"Saline, Nebraska",31151,Confirmed (per 100k),49.213,4.017,0.081633,1.179,4,5,9,0
"Bleckley, Georgia",13023,Confirmed (per 100k),46.609,5.549,0.119,2.828,5,4,9,3
"Moore, Tennessee",47127,Confirmed (per 100k),30.826,2.202,0.071429,1.710,4,5,9,0
"Marion, Texas",48315,Confirmed (per 100k),30.444,4.349,0.143,1.710,4,5,9,0
"Union, Illinois",17181,Confirmed (per 100k),30.025,4.289,0.143,1.710,4,5,9,0
"Holt, Missouri",29087,Confirmed (per 100k),22.712,3.245,0.143,1.710,4,5,9,0
"Morrill, Nebraska",31123,Confirmed (per 100k),21.542,3.077,0.143,1.710,4,5,9,0
"Knott, Kentucky",21119,Confirmed (per 100k),20.262,2.895,0.143,1.943,4,5,9,3
"Essex, Virginia",51057,Confirmed (per 100k),18.260,2.609,0.143,1.710,4,5,9,0
"Garrard, Kentucky",21079,Confirmed (per 100k),16.982,2.426,0.143,1.943,4,5,9,0
"Sherman, Kansas",20181,Confirmed (per 100k),16.900,2.414,0.143,1.710,4,5,9,0
"Freestone, Texas",48161,Confirmed (per 100k),15.215,2.174,0.143,1.000,4,5,9,1
"Moody, South Dakota",46101,Confirmed (per 100k),15.207,2.172,0.143,1.710,4,5,9,0
"Harrison, Ohio",39067,Confirmed (per 100k),13.298,1.900,0.143,1.357,4,5,9,0
"La Salle, Texas",48283,Confirmed (per 100k),13.298,1.900,0.143,1.710,4,5,9,0
"Churchill, Nevada",32001,Confirmed (per 100k),12.044,1.721,0.143,0.756,4,5,9,0
"Sabine, Texas",48403,Confirmed (per 100k),9.486,1.355,0.143,1.710,4,5,9,0
"Washita, Oklahoma",40149,Confirmed (per 100k),9.161,1.309,0.143,1.710,4,5,9,0
"Red River, Texas",48387,Confirmed (per 100k),8.317,1.188,0.143,1.710,4,5,9,0
"Kodiak Island, Alaska",2150,Confirmed (per 100k),7.693,1.099,0.143,1.710,4,5,9,0
"Hall, Nebraska",31079,Confirmed (per 100k),744.870,63.799,0.085652,3.764,5,3,8,1
"Dawson, Nebraska",31047,Confirmed (per 100k),525.535,16.347,0.031106,3.132,5,3,8,-1
"Wilcox, Georgia",13315,Confirmed (per 100k),497.973,57.904,0.116,3.861,5,3,8,0
"Harrisonburg, Virginia",51660,Confirmed (per 100k),445.149,41.497,0.093220,3.829,5,3,8,1
"Golden Valley, Montana",30037,Confirmed (per 100k),365.408,34.801,0.095238,3.454,5,3,8,-2
"Adair, Kentucky",21001,Confirmed (per 100k),276.013,30.503,0.111,3.785,5,3,8,-1
"Noxubee, Mississippi",28103,Confirmed (per 100k),211.193,19.199,0.090909,3.901,5,3,8,-1
"Dunn, North Dakota",38025,Confirmed (per 100k),203.436,12.917,0.063492,3.976,5,3,8,1
"Wayne, West Virginia",54099,Confirmed (per 100k),197.959,21.029,0.106,3.610,5,3,8,-2
"Caddo, Oklahoma",40015,Confirmed (per 100k),177.317,19.371,0.109,3.320,5,3,8,-2
"Stanton, Kansas",20187,Confirmed (per 100k),149.551,21.364,0.143,3.106,5,3,8,-1
"Black Hawk, Iowa",19013,Confirmed (per 100k),146.310,13.608,0.093006,3.440,5,3,8,0
"Wicomico, Maryland",24045,Confirmed (per 100k),139.949,14.478,0.103,3.385,5,3,8,0
"LaPorte, Indiana",18091,Confirmed (per 100k),127.402,13.390,0.105,3.140,5,3,8,-1
"Walker, Texas",48471,Confirmed (per 100k),105.521,9.984,0.094620,3.815,5,3,8,-1
"Crawford, Georgia",13079,Confirmed (per 100k),104.805,11.517,0.110,3.941,5,3,8,0
"Jasper, Iowa",19099,Confirmed (per 100k),96.813,8.836,0.091270,3.832,5,3,8,1
"Walworth, South Dakota",46129,Confirmed (per 100k),91.996,13.142,0.143,3.106,5,3,8,-2
"Merrick, Nebraska",31121,Confirmed (per 100k),90.264,7.369,0.081633,3.802,5,3,8,1
"Brown, Wisconsin",55009,Confirmed (per 100k),81.273,7.776,0.095681,3.874,5,3,8,2
"Brunswick, Virginia",51025,Confirmed (per 100k),73.933,7.921,0.107,3.956,5,3,8,-1
"Dillon, South Carolina",45033,Confirmed (per 100k),65.619,5.624,0.085714,3.106,5,3,8,2
"Boone, Illinois",17007,Confirmed (per 100k),56.029,5.870,0.105,3.328,5,3,8,2
"Armstrong, Texas",48011,Confirmed (per 100k),52.994,7.571,0.143,3.106,5,3,8,-2
"Ballard, Kentucky",21007,Confirmed (per 100k),50.710,5.433,0.107,3.802,5,3,8,-1
"Dade, Georgia",13083,Confirmed (per 100k),49.640,5.319,0.107,3.338,5,3,8,1
"Owsley, Kentucky",21189,Confirmed (per 100k),45.300,6.471,0.143,3.106,5,3,8,-2
"Howard, Iowa",19089,Confirmed (per 100k),43.678,4.680,0.107,2.409,4,4,8,2
"Jeff Davis, Georgia",13161,Confirmed (per 100k),39.696,3.781,0.095238,2.758,4,4,8,1
"Pondera, Montana",30073,Confirmed (per 100k),33.835,2.417,0.071429,2.409,4,4,8,-1
"Quay, New Mexico",35037,Confirmed (per 100k),24.234,3.462,0.143,2.409,4,4,8,1
"Salem, Virginia",51775,Confirmed (per 100k),23.714,2.823,0.119,2.967,4,4,8,0
"Staunton, Virginia",51790,Confirmed (per 100k),20.055,2.292,0.114,2.932,4,4,8,1
"Lincoln, Kentucky",21137,Confirmed (per 100k),16.294,2.328,0.143,2.235,4,4,8,-1
"Knox, Kentucky",21121,Confirmed (per 100k),16.054,1.835,0.114,2.235,4,4,8,-1
"Geneva, Alabama",1061,Confirmed (per 100k),15.226,1.631,0.107,2.642,4,4,8,3
"Livingston, Kentucky",21139,Confirmed (per 100k),10.877,1.554,0.143,2.409,4,4,8,-1
"Nome, Alaska",2180,Confirmed (per 100k),9.996,1.428,0.143,2.409,4,4,8,-1
"Benton, Minnesota",27009,Confirmed (per 100k),9.783,1.048,0.107,2.642,4,4,8,8
"Alcona, Michigan",26001,Confirmed (per 100k),9.611,1.373,0.143,2.409,4,4,8,-1
"Mingo, West Virginia",54059,Confirmed (per 100k),8.538,1.220,0.143,2.409,4,4,8,1
"Rowan, Kentucky",21205,Confirmed (per 100k),8.177,1.168,0.143,2.758,4,4,8,2
"Washburn, Wisconsin",55129,Confirmed (per 100k),6.361,0.909,0.143,1.710,3,5,8,0
"Louisa, Iowa",19115,Confirmed (per 100k),1921.160,138.520,0.072102,6.008,5,2,7,-1
"Minnehaha, South Dakota",46099,Confirmed (per 100k),705.210,61.985,0.087896,4.923,5,2,7,-1
"Upson, Georgia",13293,Confirmed (per 100k),645.897,64.590,0.100,4.596,5,2,7,-1
"Morgan, Colorado",8087,Confirmed (per 100k),540.113,41.283,0.076433,5.191,5,2,7,0
"McKinley, New Mexico",35031,Confirmed (per 100k),508.638,48.642,0.095632,4.162,5,2,7,0
"Bienville, Louisiana",22013,Confirmed (per 100k),498.452,37.761,0.075758,5.925,5,2,7,1
"Tallapoosa, Alabama",1123,Confirmed (per 100k),483.068,41.760,0.086447,5.203,5,2,7,0
"Providence, Rhode Island",44007,Confirmed (per 100k),471.725,31.861,0.067542,6.101,5,2,7,0
"Scott, Mississippi",28123,Confirmed (per 100k),462.239,27.430,0.059341,6.823,5,2,7,0
"Marshall, Iowa",19127,Confirmed (per 100k),393.711,19.958,0.050691,4.193,5,2,7,-1
"Macon, Georgia",13193,Confirmed (per 100k),378.466,30.895,0.081633,6.604,5,2,7,0
"Sussex, Delaware",10005,Confirmed (per 100k),378.269,29.398,0.077717,6.445,5,2,7,0
"Hinsdale, Colorado",8053,Confirmed (per 100k),365.854,34.843,0.095238,6.232,5,2,7,0
"Greene, Alabama",1063,Confirmed (per 100k),357.539,26.419,0.073892,6.301,5,2,7,1
"Johnson, Georgia",13167,Confirmed (per 100k),342.217,26.666,0.077922,6.116,5,2,7,1
"Leake, Mississippi",28079,Confirmed (per 100k),337.927,23.197,0.068646,5.303,5,2,7,0
"Marion, Georgia",13197,Confirmed (per 100k),334.968,27.344,0.081633,4.887,5,2,7,0
"Hall, Georgia",13139,Confirmed (per 100k),303.755,23.199,0.076375,5.678,5,2,7,1
"Lincoln, Mississippi",28085,Confirmed (per 100k),298.656,25.515,0.085434,5.498,5,2,7,0
"Saline, Missouri",29195,Confirmed (per 100k),281.183,23.850,0.084821,4.734,5,2,7,-2
"Calhoun, Mississippi",28013,Confirmed (per 100k),271.569,21.885,0.080586,5.696,5,2,7,0
"Pike, Mississippi",28113,Confirmed (per 100k),264.712,18.181,0.068681,6.842,5,2,7,0
"St. Francis, Arkansas",5123,Confirmed (per 100k),256.061,18.862,0.073661,6.915,5,2,7,0
"Kit Carson, Colorado",8063,Confirmed (per 100k),253.628,14.090,0.055556,6.182,5,2,7,1
"Apache, Arizona",4001,Confirmed (per 100k),247.611,18.084,0.073034,5.755,5,2,7,1
"Baldwin, Georgia",13009,Confirmed (per 100k),245.043,20.685,0.084416,5.821,5,2,7,0
"Muhlenberg, Kentucky",21177,Confirmed (per 100k),244.922,14.462,0.059048,6.713,5,2,7,0
"Fluvanna, Virginia",51065,Confirmed (per 100k),242.024,24.622,0.102,4.659,5,2,7,-1
"Red River, Louisiana",22081,Confirmed (per 100k),236.911,16.922,0.071429,6.648,5,2,7,0
"Lyon, Kansas",20111,Confirmed (per 100k),231.963,12.911,0.055659,5.977,5,2,7,1
"Isle of Wight, Virginia",51093,Confirmed (per 100k),231.750,21.173,0.091362,4.673,5,2,7,0
"Goochland, Virginia",51075,Confirmed (per 100k),231.550,17.441,0.075325,6.746,5,2,7,1
"Stewart, Georgia",13259,Confirmed (per 100k),226.552,19.419,0.085714,4.882,5,2,7,0
"Manassas, Virginia",51683,Confirmed (per 100k),226.360,16.690,0.073733,5.321,5,2,7,0
"Wilkinson, Georgia",13319,Confirmed (per 100k),223.364,15.955,0.071429,6.856,5,2,7,0
"Neshoba, Mississippi",28099,Confirmed (per 100k),223.230,14.228,0.063736,6.196,5,2,7,0
"Newton, Indiana",18111,Confirmed (per 100k),221.682,22.475,0.101,5.948,5,2,7,0
"Oglethorpe, Georgia",13221,Confirmed (per 100k),209.712,18.724,0.089286,5.121,5,2,7,-2
"Crawford, Michigan",26039,Confirmed (per 100k),206.715,18.329,0.088670,4.304,5,2,7,-1
"Delaware, Oklahoma",40041,Confirmed (per 100k),192.983,16.608,0.086059,6.274,5,2,7,-1
"Cass, Indiana",18017,Confirmed (per 100k),188.384,10.992,0.058350,5.646,5,2,7,0
"Franklin City, Virginia",51620,Confirmed (per 100k),188.277,10.759,0.057143,6.232,5,2,7,1
"Jefferson, Florida",12065,Confirmed (per 100k),182.507,15.042,0.082418,5.607,5,2,7,0
"Greene, New York",36039,Confirmed (per 100k),180.131,13.623,0.075630,6.748,5,2,7,0
"Beaver, Pennsylvania",42007,Confirmed (per 100k),175.686,11.765,0.066964,5.993,5,2,7,3
"Marion, Mississippi",28091,Confirmed (per 100k),174.989,12.790,0.073090,6.358,5,2,7,0
"Rowan, North Carolina",37159,Confirmed (per 100k),174.540,13.975,0.080069,6.758,5,2,7,0
"Pulaski, Illinois",17153,Confirmed (per 100k),168.697,13.389,0.079365,5.330,5,2,7,1
"Panola, Texas",48365,Confirmed (per 100k),163.835,15.398,0.093985,4.469,5,2,7,-1
"Chatham, North Carolina",37037,Confirmed (per 100k),159.796,12.277,0.076831,5.657,5,2,7,0
"Greensville, Virginia",51081,Confirmed (per 100k),158.786,12.602,0.079365,6.648,5,2,7,0
"Lawrence, Arkansas",5075,Confirmed (per 100k),158.479,13.061,0.082418,4.497,5,2,7,3
"Susquehanna, Pennsylvania",42115,Confirmed (per 100k),156.219,12.753,0.081633,5.307,5,2,7,0
"Covington, Mississippi",28031,Confirmed (per 100k),155.613,12.265,0.078818,5.364,5,2,7,0
"Warren, New York",36113,Confirmed (per 100k),150.131,11.170,0.074405,6.773,5,2,7,0
"St. Joseph, Indiana",18141,Confirmed (per 100k),147.889,10.616,0.071784,6.321,5,2,7,0
"Lincoln, South Dakota",46083,Confirmed (per 100k),147.232,10.984,0.074603,6.284,5,2,7,0
"Manassas Park, Virginia",51685,Confirmed (per 100k),143.037,8.991,0.062857,6.263,5,2,7,0
"Bedford, Tennessee",47003,Confirmed (per 100k),142.820,8.908,0.062374,4.429,5,2,7,0
"Macon, Alabama",1087,Confirmed (per 100k),138.366,10.279,0.074286,6.899,5,2,7,0
"Shiawassee, Michigan",26155,Confirmed (per 100k),137.988,11.324,0.082067,5.808,5,2,7,0
"Nacogdoches, Texas",48347,Confirmed (per 100k),136.495,12.488,0.091493,5.081,5,2,7,0
"Scott, Missouri",29201,Confirmed (per 100k),133.229,13.062,0.098039,4.040,5,2,7,-1
"Rock Island, Illinois",17161,Confirmed (per 100k),132.507,10.371,0.078267,6.074,5,2,7,0
"Colonial Heights, Virginia",51570,Confirmed (per 100k),132.412,13.981,0.106,4.088,5,2,7,-2
"Greene, Indiana",18055,Confirmed (per 100k),131.571,12.531,0.095238,4.893,5,2,7,0
"Accomack, Virginia",51001,Confirmed (per 100k),129.967,7.957,0.061224,5.037,5,2,7,2
"Bibb, Georgia",13021,Confirmed (per 100k),129.930,12.032,0.092606,4.066,5,2,7,-1
"Sanborn, South Dakota",46111,Confirmed (per 100k),127.986,12.189,0.095238,5.538,5,2,7,-2
"Washington, Colorado",8121,Confirmed (per 100k),122.249,8.732,0.071429,6.348,5,2,7,-1
"Rockingham, Virginia",51165,Confirmed (per 100k),122.029,9.762,0.080000,5.439,5,2,7,0
"Winona, Minnesota",27169,Confirmed (per 100k),120.830,8.772,0.072600,6.467,5,2,7,0
"Jasper, Georgia",13159,Confirmed (per 100k),119.558,8.038,0.067227,5.798,5,2,7,2
"Cass, North Dakota",38017,Confirmed (per 100k),116.533,8.010,0.068733,6.320,5,2,7,1
"Coffee, Alabama",1031,Confirmed (per 100k),112.720,10.371,0.092010,5.045,5,2,7,0
"Edgecombe, North Carolina",37065,Confirmed (per 100k),112.683,7.494,0.066502,6.142,5,2,7,0
"Gadsden, Florida",12039,Confirmed (per 100k),111.695,10.638,0.095238,5.150,5,2,7,-1
