location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
South Dakota,,Confirmed (per 100k),184.817,14.792,0.080035,5.714,5,2,7,0
Massachusetts,,Confirmed (per 100k),552.441,28.006,0.050694,10.596,5,1,6,0
Connecticut,,Confirmed (per 100k),503.802,24.202,0.048038,11.631,5,1,6,0
Rhode Island,,Confirmed (per 100k),444.230,28.885,0.065023,7.424,5,1,6,-1
District of Columbia,,Confirmed (per 100k),395.750,17.975,0.045420,11.809,5,1,6,0
Delaware,,Confirmed (per 100k),260.638,15.536,0.059608,8.975,5,1,6,0
Pennsylvania,,Confirmed (per 100k),257.007,11.084,0.043128,12.856,5,1,6,0
Illinois,,Confirmed (per 100k),239.563,11.251,0.046965,11.679,5,1,6,0
Maryland,,Confirmed (per 100k),212.499,10.945,0.051507,10.326,5,1,6,0
Georgia,,Confirmed (per 100k),172.368,7.414,0.043011,12.968,5,1,6,0
Indiana,,Confirmed (per 100k),166.528,6.803,0.040853,13.511,5,1,6,0
Mississippi,,Confirmed (per 100k),143.608,6.394,0.044522,11.911,5,1,6,0
New York,,Confirmed (per 100k),1273.880,44.565,0.034983,16.764,5,0,5,0
New Jersey,,Confirmed (per 100k),960.360,37.425,0.038970,14.589,5,0,5,-1
Louisiana,,Confirmed (per 100k),514.714,10.958,0.021290,29.646,5,0,5,0
Michigan,,Confirmed (per 100k),314.654,10.279,0.032668,18.418,5,0,5,0
Colorado,,Confirmed (per 100k),168.961,6.286,0.037205,15.223,5,0,5,-1
New Hampshire,,Confirmed (per 100k),102.228,4.801,0.046968,11.490,4,1,5,1
Virginia,,Confirmed (per 100k),100.076,4.981,0.049771,10.395,4,1,5,0
Alabama,,Confirmed (per 100k),99.690,4.356,0.043693,13.074,4,1,5,0
Ohio,,Confirmed (per 100k),99.255,4.854,0.048908,9.492,4,1,5,0
Iowa,,Confirmed (per 100k),91.979,4.541,0.049375,9.447,4,1,5,0
New Mexico,,Confirmed (per 100k),87.990,4.817,0.054743,9.664,4,1,5,0
North Dakota,,Confirmed (per 100k),76.765,4.405,0.057387,7.491,4,1,5,1
Nebraska,,Confirmed (per 100k),76.199,4.062,0.053305,8.054,4,1,5,0
Texas,,Confirmed (per 100k),66.423,2.799,0.042138,13.352,4,1,5,0
Kentucky,,Confirmed (per 100k),66.254,3.242,0.048938,10.521,4,1,5,0
Kansas,,Confirmed (per 100k),65.389,2.677,0.040945,13.418,4,1,5,0
North Carolina,,Confirmed (per 100k),62.938,2.689,0.042721,12.966,4,1,5,0
Minnesota,,Confirmed (per 100k),41.776,1.981,0.047417,11.026,4,1,5,0
Washington,,Confirmed (per 100k),160.935,2.518,0.015644,39.596,4,0,4,0
Vermont,,Confirmed (per 100k),130.291,2.106,0.016166,39.900,4,0,4,0
Florida,,Confirmed (per 100k),122.518,4.655,0.037992,15.365,4,0,4,-1
Nevada,,Confirmed (per 100k),121.033,4.193,0.034641,16.930,4,0,4,0
Tennessee,,Confirmed (per 100k),103.526,3.048,0.029440,19.685,4,0,4,0
Utah,,Confirmed (per 100k),95.728,3.164,0.033049,17.247,4,0,4,-1
Missouri,,Confirmed (per 100k),93.573,3.424,0.036591,15.882,4,0,4,-1
Idaho,,Confirmed (per 100k),93.337,2.070,0.022182,28.076,4,0,4,0
South Carolina,,Confirmed (per 100k),85.012,2.877,0.033846,17.162,4,0,4,0
California,,Confirmed (per 100k),79.548,3.176,0.039929,14.334,4,0,4,0
Wisconsin,,Confirmed (per 100k),74.642,2.419,0.032411,18.050,4,0,4,0
Arizona,,Confirmed (per 100k),67.773,2.612,0.038545,14.488,4,0,4,-1
Oklahoma,,Confirmed (per 100k),64.873,2.155,0.033224,17.964,4,0,4,0
Maine,,Confirmed (per 100k),64.499,2.455,0.038062,15.572,4,0,4,-1
Arkansas,,Confirmed (per 100k),59.016,2.443,0.041389,14.180,4,0,4,-1
Wyoming,,Confirmed (per 100k),54.081,1.185,0.021908,28.880,4,0,4,0
West Virginia,,Confirmed (per 100k),49.661,1.658,0.033387,15.760,4,0,4,-1
Oregon,,Confirmed (per 100k),45.285,1.602,0.035378,16.902,4,0,4,0
Alaska,,Confirmed (per 100k),43.606,1.113,0.025526,24.581,4,0,4,0
Hawaii,,Confirmed (per 100k),40.964,1.100,0.026847,23.072,4,0,4,1
Puerto Rico,,Confirmed (per 100k),37.981,1.476,0.038865,14.198,4,0,4,-1
Guam,,Confirmed (per 100k),80.581,0.254,0.003151,217.070,3,0,3,0
Montana,,Confirmed (per 100k),40.514,0.655,0.016166,39.926,3,0,3,0
Northern Mariana Islands,69000,Confirmed (per 100k),24.323,0.745,0.030612,19.522,3,0,3,0
