location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Craven, North Carolina",37049,Confirmed (per 100k),35.246,1.259,0.035714,16.518,4,0,4,-1
"Ector, Texas",48135,Confirmed (per 100k),34.893,1.289,0.036946,15.963,4,0,4,-1
"Napa, California",6055,Confirmed (per 100k),34.847,1.348,0.038690,14.953,4,0,4,-1
"Lincoln, Maine",23015,Confirmed (per 100k),34.648,1.237,0.035714,18.366,4,0,4,0
"Scotland, North Carolina",37165,Confirmed (per 100k),34.460,1.231,0.035714,15.824,4,0,4,1
"Brown, Texas",48049,Confirmed (per 100k),34.333,1.132,0.032967,18.597,4,0,4,1
"Lewis, New York",36049,Confirmed (per 100k),34.226,1.087,0.031746,17.673,4,0,4,0
"Cumberland, North Carolina",37051,Confirmed (per 100k),33.680,1.235,0.036662,16.024,4,0,4,0
"Guilford, North Carolina",37081,Confirmed (per 100k),32.764,1.090,0.033279,18.417,4,0,4,0
"Campbell, Tennessee",47013,Confirmed (per 100k),32.629,1.076,0.032967,19.291,4,0,4,1
"Merced, California",6047,Confirmed (per 100k),32.411,1.286,0.039683,14.955,4,0,4,-1
"Overton, Tennessee",47133,Confirmed (per 100k),31.473,1.285,0.040816,14.553,4,0,4,-1
"Pickens, South Carolina",45077,Confirmed (per 100k),30.737,1.238,0.040293,15.215,4,0,4,0
"Nelson, Kentucky",21179,Confirmed (per 100k),30.281,1.236,0.040816,15.593,4,0,4,-1
"Ripley, Missouri",29181,Confirmed (per 100k),30.102,1.075,0.035714,15.593,4,0,4,4
"Hidalgo, Texas",48215,Confirmed (per 100k),30.045,1.069,0.035577,16.308,4,0,4,-1
"Comanche, Texas",48093,Confirmed (per 100k),29.336,1.048,0.035714,14.900,4,0,4,4
"Cache, Utah",49005,Confirmed (per 100k),28.841,1.002,0.034749,17.827,4,0,4,-1
"Clinton, Pennsylvania",42035,Confirmed (per 100k),28.474,1.109,0.038961,14.438,4,0,4,-1
"Rio Arriba, New Mexico",35039,Confirmed (per 100k),28.262,1.101,0.038961,14.438,4,0,4,-1
"Rusk, Wisconsin",55107,Confirmed (per 100k),28.213,1.008,0.035714,15.593,4,0,4,4
"Caldwell, North Carolina",37027,Confirmed (per 100k),27.988,1.043,0.037267,16.171,4,0,4,1
"LaSalle, Illinois",17099,Confirmed (per 100k),27.607,1.052,0.038095,14.813,4,0,4,-1
"Columbia, Oregon",41009,Confirmed (per 100k),26.741,1.091,0.040816,15.940,4,0,4,0
"Anoka, Minnesota",27003,Confirmed (per 100k),26.617,1.001,0.037594,14.983,4,0,4,-1
"Hardin, Kentucky",21093,Confirmed (per 100k),26.136,1.030,0.039409,15.593,4,0,4,-2
"Peoria, Illinois",17143,Confirmed (per 100k),23.998,0.957,0.039867,13.456,3,1,4,-1
"Dixie, Florida",12029,Confirmed (per 100k),23.773,0.849,0.035714,12.820,3,1,4,0
"Sweetwater, Wyoming",56037,Confirmed (per 100k),23.617,1.012,0.042857,15.362,4,0,4,-1
"Fannin, Texas",48147,Confirmed (per 100k),22.526,0.805,0.035714,13.167,3,1,4,4
"Laurel, Kentucky",21125,Confirmed (per 100k),21.377,0.940,0.043956,13.513,3,1,4,-2
"Fremont, Colorado",8043,Confirmed (per 100k),20.903,0.896,0.042857,13.745,3,1,4,-1
"Hamilton, Florida",12047,Confirmed (per 100k),20.793,0.990,0.047619,11.433,3,1,4,0
"Brown, Ohio",39015,Confirmed (per 100k),20.722,0.987,0.047619,12.127,3,1,4,-1
"Las Animas, Colorado",8071,Confirmed (per 100k),20.681,0.985,0.047619,11.433,3,1,4,0
"Morgan, Ohio",39115,Confirmed (per 100k),20.678,0.985,0.047619,12.127,3,1,4,0
"Greene, Arkansas",5055,Confirmed (per 100k),19.857,0.946,0.047619,10.740,3,1,4,4
"Union, Florida",12125,Confirmed (per 100k),19.689,0.938,0.047619,10.047,3,1,4,4
"Pottawattamie, Iowa",19155,Confirmed (per 100k),19.312,0.920,0.047619,12.242,3,1,4,0
"Marquette, Wisconsin",55077,Confirmed (per 100k),19.263,0.917,0.047619,12.820,3,1,4,0
"Clay, Iowa",19041,Confirmed (per 100k),18.731,0.892,0.047619,10.047,3,1,4,4
"Wright, Minnesota",27171,Confirmed (per 100k),18.067,0.826,0.045714,12.560,3,1,4,0
"Butler, Kansas",20015,Confirmed (per 100k),17.934,0.854,0.047619,12.300,3,1,4,1
"Logan, Illinois",17107,Confirmed (per 100k),17.472,0.998,0.057143,10.740,3,1,4,0
"Giles, Tennessee",47055,Confirmed (per 100k),16.970,0.970,0.057143,9.353,3,1,4,0
"Uintah, Utah",49047,Confirmed (per 100k),16.791,0.800,0.047619,13.167,3,1,4,-2
"Okeechobee, Florida",12093,Confirmed (per 100k),16.600,0.678,0.040816,12.820,3,1,4,4
"Roane, Tennessee",47145,Confirmed (per 100k),14.986,0.803,0.053571,9.816,3,1,4,0
"Parker, Texas",48367,Confirmed (per 100k),14.698,0.800,0.054422,10.393,3,1,4,0
"Cambria, Pennsylvania",42021,Confirmed (per 100k),14.594,0.658,0.045113,11.896,3,1,4,1
"Yuma, Arizona",4027,Confirmed (per 100k),14.500,0.601,0.041475,12.743,3,1,4,0
"Logan, Arkansas",5083,Confirmed (per 100k),13.976,0.666,0.047619,10.740,3,1,4,0
"Mason, Michigan",26105,Confirmed (per 100k),13.725,0.980,0.071429,7.966,3,1,4,-2
"Sumner, Kansas",20191,Confirmed (per 100k),13.137,0.626,0.047619,12.127,3,1,4,0
"Meeker, Minnesota",27093,Confirmed (per 100k),12.919,0.615,0.047619,12.820,3,1,4,0
"Wise, Texas",48497,Confirmed (per 100k),12.860,0.817,0.063492,7.966,3,1,4,-1
"Pender, North Carolina",37141,Confirmed (per 100k),12.686,0.453,0.035714,12.820,3,1,4,1
"Luna, New Mexico",35029,Confirmed (per 100k),12.653,0.603,0.047619,11.433,3,1,4,-3
"Marinette, Wisconsin",55075,Confirmed (per 100k),12.392,0.708,0.057143,9.700,3,1,4,1
"Hamblen, Tennessee",47063,Confirmed (per 100k),12.320,0.660,0.053571,10.509,3,1,4,0
"Calumet, Wisconsin",55015,Confirmed (per 100k),11.979,0.570,0.047619,12.127,3,1,4,1
"Fayette, West Virginia",54019,Confirmed (per 100k),11.791,0.674,0.057143,8.313,3,1,4,1
"Jackson, North Carolina",37099,Confirmed (per 100k),11.380,0.650,0.057143,10.047,3,1,4,0
