location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Bledsoe, Tennessee",47007,Confirmed (per 100k),2330.058,325.279,0.140,0.385,5,5,10,6
"Dakota, Nebraska",31043,Confirmed (per 100k),1228.403,169.066,0.138,1.358,5,5,10,1
"Southampton, Virginia",51175,Confirmed (per 100k),402.700,51.857,0.129,1.456,5,5,10,3
"Lake, Tennessee",47095,Confirmed (per 100k),285.063,32.579,0.114,1.534,5,5,10,10
"Kearny, Kansas",20093,Confirmed (per 100k),234.497,29.777,0.127,1.797,5,5,10,2
"Haskell, Kansas",20081,Confirmed (per 100k),151.210,21.601,0.143,0.756,5,5,10,2
"Madison, Nebraska",31119,Confirmed (per 100k),125.360,15.059,0.120,1.823,5,5,10,4
"Hickman, Tennessee",47081,Confirmed (per 100k),63.548,7.943,0.125,1.154,5,5,10,6
"Lewis, Missouri",29111,Confirmed (per 100k),61.375,8.768,0.143,0.631,5,5,10,1
"Hickman, Kentucky",21105,Confirmed (per 100k),45.662,6.523,0.143,1.000,5,5,10,0
"Highland, Virginia",51091,Confirmed (per 100k),45.662,6.523,0.143,1.710,5,5,10,0
"Mineral, Nevada",32021,Confirmed (per 100k),44.395,6.342,0.143,1.710,5,5,10,0
"Lincoln, Arkansas",5079,Confirmed (per 100k),4837.224,587.926,0.122,2.557,5,4,9,0
"Seward, Kansas",20175,Confirmed (per 100k),1162.031,150.004,0.129,2.068,5,4,9,-1
"Nobles, Minnesota",27105,Confirmed (per 100k),906.191,121.530,0.134,2.353,5,4,9,-1
"Richmond, Virginia",51159,Confirmed (per 100k),731.464,91.829,0.126,2.638,5,4,9,-1
"Finney, Kansas",20055,Confirmed (per 100k),348.260,39.174,0.112,2.326,5,4,9,2
"Kent, Maryland",24029,Confirmed (per 100k),329.523,36.777,0.112,2.786,5,4,9,2
"Warren, Illinois",17187,Confirmed (per 100k),184.042,24.595,0.134,2.409,5,4,9,1
"Alpena, Michigan",26007,Confirmed (per 100k),165.464,22.632,0.137,2.549,5,4,9,-1
"Saline, Nebraska",31151,Confirmed (per 100k),140.607,17.074,0.121,2.983,5,4,9,-1
"Howard, Nebraska",31093,Confirmed (per 100k),139.643,15.516,0.111,2.708,5,4,9,0
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,2.631,5,4,9,6
"Sheridan, Kansas",20179,Confirmed (per 100k),79.334,11.333,0.143,2.758,5,4,9,-1
"East Carroll, Louisiana",22035,Confirmed (per 100k),72.876,8.329,0.114,2.932,5,4,9,-1
"Guadalupe, New Mexico",35019,Confirmed (per 100k),69.767,9.967,0.143,2.177,5,4,9,-1
"Cass, Illinois",17017,Confirmed (per 100k),65.860,9.409,0.143,2.060,5,4,9,-1
"Polk, Minnesota",27119,Confirmed (per 100k),60.579,7.743,0.128,2.286,5,4,9,-1
