location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Putnam, West Virginia",Confirmed (per 100k),23.03,0.76,0.03,17.44,3,0,3,0
"Marshall, West Virginia",Confirmed (per 100k),22.93,0.94,0.04,14.21,3,0,3,0
"Nueces, Texas",Confirmed (per 100k),22.91,0.71,0.03,19.95,3,0,3,0
"Mesa, Colorado",Confirmed (per 100k),22.70,0.28,0.01,54.64,3,0,3,0
"Reno, Kansas",Confirmed (per 100k),22.58,0.69,0.03,19.29,3,0,3,0
"Oxford, Maine",Confirmed (per 100k),22.42,0.25,0.01,61.34,3,0,3,0
"Sevier, Tennessee",Confirmed (per 100k),22.39,0.44,0.02,34.31,3,0,3,0
"Benton, Arkansas",Confirmed (per 100k),22.21,0.87,0.04,14.37,3,0,3,-1
"Perry, Ohio",Confirmed (per 100k),22.14,0.79,0.04,18.02,3,0,3,-2
"Anderson, Kentucky",Confirmed (per 100k),21.98,0.63,0.03,14.90,3,0,3,3
"Stokes, North Carolina",Confirmed (per 100k),21.93,0.63,0.03,22.53,3,0,3,0
"Jefferson, Iowa",Confirmed (per 100k),21.86,0.78,0.04,17.67,3,0,3,0
"Josephine, Oregon",Confirmed (per 100k),21.72,0.49,0.02,28.30,3,0,3,-1
"Williamson, Texas",Confirmed (per 100k),21.67,0.90,0.04,14.32,3,0,3,-1
"Dodge, Wisconsin",Confirmed (per 100k),21.63,0.65,0.03,21.83,3,0,3,0
"Christian, Missouri",Confirmed (per 100k),21.45,0.32,0.02,42.28,3,0,3,3
"Jackson, Oregon",Confirmed (per 100k),21.27,0.52,0.02,27.29,3,0,3,0
"Plumas, California",Confirmed (per 100k),21.27,0.76,0.04,17.67,3,0,3,0
"Allegan, Michigan",Confirmed (per 100k),21.17,0.85,0.04,14.31,3,0,3,-1
"Iowa, Wisconsin",Confirmed (per 100k),21.12,0.60,0.03,21.83,3,0,3,-2
"Johnson, Texas",Confirmed (per 100k),21.04,0.73,0.03,15.13,3,0,3,0
"Madera, California",Confirmed (per 100k),20.98,0.45,0.02,30.29,3,0,3,0
"Midland, Texas",Confirmed (per 100k),20.92,0.40,0.02,30.71,3,0,3,0
"Lincoln, North Carolina",Confirmed (per 100k),20.90,0.66,0.03,16.98,3,0,3,-1
"Clay, Missouri",Confirmed (per 100k),20.80,0.80,0.04,15.79,3,0,3,0
"Anderson, Tennessee",Confirmed (per 100k),20.79,0.74,0.04,15.42,3,0,3,-1
"Curry, New Mexico",Confirmed (per 100k),20.43,0.58,0.03,22.53,3,0,3,-2
"Nicollet, Minnesota",Confirmed (per 100k),20.42,0.83,0.04,14.55,3,0,3,-2
"Holmes, Florida",Confirmed (per 100k),20.39,0.73,0.04,15.59,3,0,3,-3
"Bedford, Virginia",Confirmed (per 100k),20.25,0.72,0.04,17.85,3,0,3,-3
"Barton, Kansas",Confirmed (per 100k),19.40,0.55,0.03,19.75,3,0,3,0
"Huntington, Indiana",Confirmed (per 100k),19.17,0.39,0.02,31.54,3,0,3,0
"Hart, Georgia",Confirmed (per 100k),19.08,0.55,0.03,20.45,3,0,3,3
"Chautauqua, New York",Confirmed (per 100k),18.91,0.68,0.04,18.02,3,0,3,0
"Union, Ohio",Confirmed (per 100k),18.65,0.73,0.04,16.29,3,0,3,0
"Winnebago, Wisconsin",Confirmed (per 100k),18.61,0.58,0.03,18.37,3,0,3,0
"Shelby, Illinois",Confirmed (per 100k),18.49,0.66,0.04,16.98,3,0,3,-4
"Grand Traverse, Michigan",Confirmed (per 100k),18.26,0.31,0.02,39.85,3,0,3,0
"El Dorado, California",Confirmed (per 100k),18.15,0.52,0.03,21.83,3,0,3,-1
"Williamson, Illinois",Confirmed (per 100k),18.02,0.64,0.04,16.06,3,0,3,-3
"Weakley, Tennessee",Confirmed (per 100k),18.00,0.43,0.02,25.99,3,0,3,0
"Platte, Nebraska",Confirmed (per 100k),17.93,0.43,0.02,27.38,3,0,3,0
"Knox, Ohio",Confirmed (per 100k),17.65,0.69,0.04,14.90,3,0,3,-1
"Logan, Illinois",Confirmed (per 100k),17.47,0.50,0.03,16.29,3,0,3,-3
"Gratiot, Michigan",Confirmed (per 100k),17.19,0.35,0.02,32.23,3,0,3,0
"Hood River, Oregon",Confirmed (per 100k),17.11,0.61,0.04,17.67,3,0,3,0
"Powhatan, Virginia",Confirmed (per 100k),16.86,0.48,0.03,22.53,3,0,3,0
"Oneida, Wisconsin",Confirmed (per 100k),16.86,0.40,0.02,26.68,3,0,3,-2
"Outagamie, Wisconsin",Confirmed (per 100k),16.50,0.46,0.03,22.99,3,0,3,0
"Sullivan, New Hampshire",Confirmed (per 100k),16.22,0.33,0.02,30.15,3,0,3,3
"Highland, Ohio",Confirmed (per 100k),16.22,0.33,0.02,30.84,3,0,3,0
"Pottawattamie, Iowa",Confirmed (per 100k),16.09,0.46,0.03,19.75,3,0,3,-1
"Cascade, Montana",Confirmed (per 100k),15.98,0.35,0.02,30.50,3,0,3,0
"Tazewell, Illinois",Confirmed (per 100k),15.93,0.43,0.03,22.53,3,0,3,-1
"Independence, Arkansas",Confirmed (per 100k),15.86,0.38,0.02,25.99,3,0,3,0
"Perry, Kentucky",Confirmed (per 100k),15.53,0.55,0.04,15.59,3,0,3,3
"Stevens, Washington",Confirmed (per 100k),15.31,0.62,0.04,15.59,3,0,3,0
"Butler, Kansas",Confirmed (per 100k),14.95,0.43,0.03,20.45,3,0,3,0
"Clatsop, Oregon",Confirmed (per 100k),14.92,0.36,0.02,27.38,3,0,3,-1
"Garfield, Oklahoma",Confirmed (per 100k),14.74,0.47,0.03,14.55,3,0,3,-1
"Burnet, Texas",Confirmed (per 100k),14.54,0.59,0.04,14.21,3,0,3,-1
"Harvey, Kansas",Confirmed (per 100k),14.52,0.41,0.03,20.45,3,0,3,0
"Taney, Missouri",Confirmed (per 100k),14.30,0.26,0.02,35.70,3,0,3,0
"Grayson, Texas",Confirmed (per 100k),13.95,0.42,0.03,20.27,3,0,3,0
"Randolph, West Virginia",Confirmed (per 100k),13.94,0.50,0.04,17.67,3,0,3,0
"San Patricio, Texas",Confirmed (per 100k),13.49,0.43,0.03,18.02,3,0,3,-1
"Cass, Minnesota",Confirmed (per 100k),13.43,0.48,0.04,16.98,3,0,3,-3
"Scott, Minnesota",Confirmed (per 100k),13.42,0.29,0.02,31.54,3,0,3,0
"Carver, Minnesota",Confirmed (per 100k),13.32,0.54,0.04,14.73,3,0,3,0
"Albany, Wyoming",Confirmed (per 100k),12.86,0.37,0.03,22.53,3,0,3,0
"Chisago, Minnesota",Confirmed (per 100k),12.37,0.50,0.04,15.25,3,0,3,-1
"Venango, Pennsylvania",Confirmed (per 100k),11.84,0.28,0.02,27.38,3,0,3,0
"Clearfield, Pennsylvania",Confirmed (per 100k),11.36,0.36,0.03,20.45,3,0,3,0
"Yuma, Arizona",Confirmed (per 100k),11.23,0.40,0.04,14.32,3,0,3,-1
"Marathon, Wisconsin",Confirmed (per 100k),10.32,0.21,0.02,31.54,3,0,3,0
"Calumet, Wisconsin",Confirmed (per 100k),9.98,0.29,0.03,21.14,3,0,3,0
"Marinette, Wisconsin",Confirmed (per 100k),9.91,0.35,0.04,15.59,3,0,3,3
"Bonner, Idaho",Confirmed (per 100k),8.75,0.31,0.04,17.67,3,0,3,-1
"Sebastian, Arkansas",Confirmed (per 100k),8.61,0.22,0.03,24.26,3,0,3,0
"Rice, Minnesota",Confirmed (per 100k),7.47,0.21,0.03,20.45,3,0,3,3
"Haywood, North Carolina",Confirmed (per 100k),6.42,0.23,0.04,14.90,3,0,3,3
"Otero, New Mexico",Confirmed (per 100k),5.93,0.21,0.04,16.98,3,0,3,0
"Humboldt, California",Confirmed (per 100k),38.36,0.11,0.00,242.95,2,0,2,-1
"White, Arkansas",Confirmed (per 100k),35.55,0.18,0.01,134.12,2,0,2,-1
"Saline, Arkansas",Confirmed (per 100k),29.40,0.12,0.00,160.46,2,0,2,2
"Kootenai, Idaho",Confirmed (per 100k),28.97,0.17,0.01,106.74,2,0,2,-1
"Buncombe, North Carolina",Confirmed (per 100k),16.46,0.11,0.01,90.46,2,0,2,-1
"Shasta, California",Confirmed (per 100k),13.88,0.16,0.01,58.57,2,0,2,-1
"Sherburne, Minnesota",Confirmed (per 100k),11.31,0.15,0.01,48.87,2,0,2,2
"Butte, California",Confirmed (per 100k),7.30,0.20,0.03,22.53,2,0,2,0
