State,Metric,Date,Value
Guam,Confirmed (per 100k),2020-04-04T04:00:00Z,55.10
Guam,Confirmed (per 100k),2020-04-05T04:00:00Z,66.36
Guam,Confirmed (per 100k),2020-04-06T04:00:00Z,66.95
Guam,Confirmed (per 100k),2020-04-07T04:00:00Z,71.69
Guam,Confirmed (per 100k),2020-04-08T04:00:00Z,71.69
Guam,Confirmed (per 100k),2020-04-09T04:00:00Z,75.84
Guam,Confirmed (per 100k),2020-04-10T04:00:00Z,77.03
Guam,Deaths,2020-03-22T04:00:00Z,1
Guam,Deaths,2020-03-23T04:00:00Z,1
Guam,Deaths,2020-03-24T04:00:00Z,1
Guam,Deaths,2020-03-25T04:00:00Z,1
Guam,Deaths,2020-03-26T04:00:00Z,1
Guam,Deaths,2020-03-27T04:00:00Z,1
Guam,Deaths,2020-03-28T04:00:00Z,1
Guam,Deaths,2020-03-29T04:00:00Z,1
Guam,Deaths,2020-03-30T04:00:00Z,1
Guam,Deaths,2020-03-31T04:00:00Z,2
Guam,Deaths,2020-04-01T04:00:00Z,3
Guam,Deaths,2020-04-02T04:00:00Z,3
Guam,Deaths,2020-04-03T04:00:00Z,4
Guam,Deaths,2020-04-04T04:00:00Z,4
Guam,Deaths,2020-04-05T04:00:00Z,4
Guam,Deaths,2020-04-06T04:00:00Z,4
Guam,Deaths,2020-04-07T04:00:00Z,4
Guam,Deaths,2020-04-08T04:00:00Z,4
Guam,Deaths,2020-04-09T04:00:00Z,4
Guam,Deaths,2020-04-10T04:00:00Z,4
Guam,Deaths (per 100k),2020-03-22T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-23T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-24T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-25T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-26T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-27T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-28T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-29T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-30T04:00:00Z,0.59
Guam,Deaths (per 100k),2020-03-31T04:00:00Z,1.19
Guam,Deaths (per 100k),2020-04-01T04:00:00Z,1.78
Guam,Deaths (per 100k),2020-04-02T04:00:00Z,1.78
Guam,Deaths (per 100k),2020-04-03T04:00:00Z,2.37
Guam,Deaths (per 100k),2020-04-04T04:00:00Z,2.37
Guam,Deaths (per 100k),2020-04-05T04:00:00Z,2.37
Guam,Deaths (per 100k),2020-04-06T04:00:00Z,2.37
Guam,Deaths (per 100k),2020-04-07T04:00:00Z,2.37
Guam,Deaths (per 100k),2020-04-08T04:00:00Z,2.37
Guam,Deaths (per 100k),2020-04-09T04:00:00Z,2.37
Guam,Deaths (per 100k),2020-04-10T04:00:00Z,2.37
Puerto Rico,Confirmed,2020-03-22T04:00:00Z,23
Puerto Rico,Confirmed,2020-03-23T04:00:00Z,31
Puerto Rico,Confirmed,2020-03-24T04:00:00Z,39
Puerto Rico,Confirmed,2020-03-25T04:00:00Z,51
Puerto Rico,Confirmed,2020-03-26T04:00:00Z,64
Puerto Rico,Confirmed,2020-03-27T04:00:00Z,79
Puerto Rico,Confirmed,2020-03-28T04:00:00Z,100
Puerto Rico,Confirmed,2020-03-29T04:00:00Z,127
Puerto Rico,Confirmed,2020-03-30T04:00:00Z,174
Puerto Rico,Confirmed,2020-03-31T04:00:00Z,239
Puerto Rico,Confirmed,2020-04-01T04:00:00Z,286
Puerto Rico,Confirmed,2020-04-02T04:00:00Z,316
Puerto Rico,Confirmed,2020-04-03T04:00:00Z,316
Puerto Rico,Confirmed,2020-04-04T04:00:00Z,452
Puerto Rico,Confirmed,2020-04-05T04:00:00Z,475
Puerto Rico,Confirmed,2020-04-06T04:00:00Z,513
Puerto Rico,Confirmed,2020-04-07T04:00:00Z,573
Puerto Rico,Confirmed,2020-04-08T04:00:00Z,620
Puerto Rico,Confirmed,2020-04-09T04:00:00Z,683
Puerto Rico,Confirmed,2020-04-10T04:00:00Z,725
Puerto Rico,Confirmed (per 100k),2020-03-22T04:00:00Z,0.72
Puerto Rico,Confirmed (per 100k),2020-03-23T04:00:00Z,0.97
Puerto Rico,Confirmed (per 100k),2020-03-24T04:00:00Z,1.22
Puerto Rico,Confirmed (per 100k),2020-03-25T04:00:00Z,1.60
Puerto Rico,Confirmed (per 100k),2020-03-26T04:00:00Z,2.00
Puerto Rico,Confirmed (per 100k),2020-03-27T04:00:00Z,2.47
Puerto Rico,Confirmed (per 100k),2020-03-28T04:00:00Z,3.13
Puerto Rico,Confirmed (per 100k),2020-03-29T04:00:00Z,3.98
Puerto Rico,Confirmed (per 100k),2020-03-30T04:00:00Z,5.45
Puerto Rico,Confirmed (per 100k),2020-03-31T04:00:00Z,7.48
Puerto Rico,Confirmed (per 100k),2020-04-01T04:00:00Z,8.96
Puerto Rico,Confirmed (per 100k),2020-04-02T04:00:00Z,9.89
Puerto Rico,Confirmed (per 100k),2020-04-03T04:00:00Z,9.89
Puerto Rico,Confirmed (per 100k),2020-04-04T04:00:00Z,14.15
Puerto Rico,Confirmed (per 100k),2020-04-05T04:00:00Z,14.87
Puerto Rico,Confirmed (per 100k),2020-04-06T04:00:00Z,16.06
Puerto Rico,Confirmed (per 100k),2020-04-07T04:00:00Z,17.94
Puerto Rico,Confirmed (per 100k),2020-04-08T04:00:00Z,19.41
Puerto Rico,Confirmed (per 100k),2020-04-09T04:00:00Z,21.39
Puerto Rico,Confirmed (per 100k),2020-04-10T04:00:00Z,22.70
