location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Bledsoe, Tennessee",47007,Confirmed (per 100k),3883.431,547.189,0.141,0.790,5,5,10,6
"Lake, Tennessee",47095,Confirmed (per 100k),655.644,85.519,0.130,1.034,5,5,10,10
"Guadalupe, New Mexico",35019,Confirmed (per 100k),162.791,19.934,0.122,1.592,5,5,10,1
"Haskell, Kansas",20081,Confirmed (per 100k),151.210,21.601,0.143,1.475,5,5,10,2
"Cass, Illinois",17017,Confirmed (per 100k),139.952,19.993,0.143,1.461,5,5,10,1
"Hickman, Tennessee",47081,Confirmed (per 100k),79.434,10.213,0.129,1.514,5,5,10,6
"Hartley, Texas",48205,Confirmed (per 100k),71.736,10.248,0.143,1.534,5,5,10,3
"Lewis, Missouri",29111,Confirmed (per 100k),61.375,8.768,0.143,1.357,5,5,10,1
"Wheeler, Texas",48483,Confirmed (per 100k),59.335,8.476,0.143,1.000,5,5,10,1
"Pulaski, Indiana",18131,Confirmed (per 100k),56.666,6.939,0.122,1.475,5,5,10,10
"Hickman, Kentucky",21105,Confirmed (per 100k),45.662,6.523,0.143,1.710,5,5,10,0
"Humboldt, Iowa",19091,Confirmed (per 100k),41.850,5.979,0.143,1.534,5,5,10,2
"Lincoln, Arkansas",5079,Confirmed (per 100k),5428.440,654.835,0.121,2.954,5,4,9,0
"Seward, Kansas",20175,Confirmed (per 100k),1358.036,170.671,0.126,2.469,5,4,9,0
"Dakota, Nebraska",31043,Confirmed (per 100k),1228.403,159.792,0.130,2.163,5,4,9,-1
"Nobles, Minnesota",27105,Confirmed (per 100k),1192.843,146.629,0.123,2.582,5,4,9,0
"Finney, Kansas",20055,Confirmed (per 100k),444.237,51.318,0.116,2.383,5,4,9,2
"Southampton, Virginia",51175,Confirmed (per 100k),425.387,53.477,0.126,2.102,5,4,9,2
"Texas, Oklahoma",40139,Confirmed (per 100k),295.251,35.745,0.121,2.939,5,4,9,1
"Kearny, Kansas",20093,Confirmed (per 100k),260.552,33.500,0.129,2.254,5,4,9,1
"Warren, Illinois",17187,Confirmed (per 100k),219.663,27.988,0.127,2.769,5,4,9,1
"Alpena, Michigan",26007,Confirmed (per 100k),211.230,29.170,0.138,2.590,5,4,9,0
"Poweshiek, Iowa",19157,Confirmed (per 100k),210.765,23.933,0.114,2.409,5,4,9,3
"Woodbury, Iowa",19193,Confirmed (per 100k),183.305,21.337,0.116,2.659,5,4,9,1
"Saline, Nebraska",31151,Confirmed (per 100k),182.790,22.095,0.121,2.916,5,4,9,0
"Pine, Minnesota",27115,Confirmed (per 100k),145.373,15.938,0.110,2.409,5,4,9,3
"Madison, Nebraska",31119,Confirmed (per 100k),133.907,16.280,0.122,2.357,5,4,9,3
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,2.631,5,4,9,6
"East Carroll, Louisiana",22035,Confirmed (per 100k),87.451,10.411,0.119,2.967,5,4,9,0
"Polk, Minnesota",27119,Confirmed (per 100k),60.579,7.743,0.128,2.983,5,4,9,-1
"Highland, Virginia",51091,Confirmed (per 100k),45.662,6.523,0.143,2.409,5,4,9,-1
"Mineral, Nevada",32021,Confirmed (per 100k),44.395,6.342,0.143,2.409,5,4,9,-1
"Parmer, Texas",48369,Confirmed (per 100k),41.645,5.949,0.143,2.584,5,4,9,1
"Carroll, Missouri",29033,Confirmed (per 100k),34.566,4.938,0.143,1.000,4,5,9,0
"Kandiyohi, Minnesota",27067,Confirmed (per 100k),27.778,3.307,0.119,1.710,4,5,9,5
"Mississippi, Missouri",29133,Confirmed (per 100k),22.762,3.252,0.143,1.475,4,5,9,0
"Cherokee, Iowa",19035,Confirmed (per 100k),17.802,2.543,0.143,1.710,4,5,9,1
"Patrick, Virginia",51141,Confirmed (per 100k),11.358,1.623,0.143,1.710,4,5,9,2
"Dawson, Nebraska",31047,Confirmed (per 100k),1301.123,167.711,0.129,3.214,5,3,8,0
"Richmond, Virginia",51159,Confirmed (per 100k),731.464,91.829,0.126,3.334,5,3,8,-1
"Cass, Indiana",18017,Confirmed (per 100k),676.590,76.946,0.114,3.038,5,3,8,1
"Kent, Maryland",24029,Confirmed (per 100k),344.970,37.513,0.109,3.420,5,3,8,1
"Jefferson, Illinois",17081,Confirmed (per 100k),212.292,25.778,0.121,3.761,5,3,8,-1
"Putnam, Ohio",39137,Confirmed (per 100k),144.709,14.766,0.102,3.702,5,3,8,1
"Grayson, Kentucky",21085,Confirmed (per 100k),140.008,15.677,0.112,3.322,5,3,8,1
"Howard, Nebraska",31093,Confirmed (per 100k),139.643,15.516,0.111,3.404,5,3,8,-1
"Dodge, Nebraska",31053,Confirmed (per 100k),117.599,12.112,0.103,3.488,5,3,8,3
"Missaukee, Michigan",26113,Confirmed (per 100k),92.605,10.394,0.112,3.739,5,3,8,0
"Sheridan, Kansas",20179,Confirmed (per 100k),79.334,11.333,0.143,3.454,5,3,8,-1
"Williams, Ohio",39171,Confirmed (per 100k),76.311,8.176,0.107,3.173,5,3,8,2
"Presque Isle, Michigan",26141,Confirmed (per 100k),71.474,7.942,0.111,3.504,5,3,8,2
"Robeson, North Carolina",37155,Confirmed (per 100k),65.072,6.890,0.106,3.073,5,3,8,2
"Jackson, Minnesota",27063,Confirmed (per 100k),60.938,5.804,0.095238,3.628,5,3,8,2
"Sherman, Kansas",20181,Confirmed (per 100k),50.701,4.829,0.095238,2.758,4,4,8,8
"Knox, Illinois",17095,Confirmed (per 100k),48.291,5.461,0.113,3.546,5,3,8,1
"Hamilton, Iowa",19079,Confirmed (per 100k),47.384,4.835,0.102,2.409,4,4,8,8
