location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Guadeloupe,,Confirmed (per 100k),13.246,1.500,0.113,1.860,4,5,9,1
Djibouti,,Confirmed (per 100k),85.628,7.880,0.092030,3.923,5,3,8,-1
Singapore,,Confirmed (per 100k),112.609,9.018,0.080081,4.876,5,2,7,0
Cabo Verde,,Confirmed (per 100k),10.971,1.285,0.117,3.176,4,3,7,-2
Martinique,,Confirmed (per 100k),8.527,0.761,0.089286,2.897,3,4,7,0
Reunion,,Confirmed (per 100k),5.026,0.367,0.073016,2.197,3,4,7,3
Ireland,,Confirmed (per 100k),308.863,16.867,0.054610,9.914,5,1,6,0
"Quebec, Canada",,Confirmed (per 100k),210.245,8.749,0.041616,13.660,5,1,6,0
Qatar,,Confirmed (per 100k),189.098,11.305,0.059786,7.894,5,1,6,0
United Kingdom,,Confirmed (per 100k),176.866,7.413,0.041912,13.252,5,1,6,0
"Bermuda, United Kingdom",,Confirmed (per 100k),138.090,8.029,0.058140,9.532,5,1,6,0
Bahrain,,Confirmed (per 100k),110.545,6.154,0.055669,9.965,5,1,6,0
Turkey,,Confirmed (per 100k),102.332,5.109,0.049925,10.855,5,1,6,0
Belarus,,Confirmed (per 100k),50.575,3.860,0.076316,6.779,4,2,6,0
Peru,,Confirmed (per 100k),47.398,3.281,0.069216,6.923,4,2,6,0
Russia,,Confirmed (per 100k),29.365,2.272,0.077371,4.914,4,2,6,0
Saudi Arabia,,Confirmed (per 100k),26.892,1.740,0.064714,6.581,4,2,6,1
Oman,,Confirmed (per 100k),24.791,1.774,0.071541,6.554,4,2,6,0
Equatorial Guinea,,Confirmed (per 100k),5.631,0.621,0.110,3.540,3,3,6,1
Timor-Leste,,Confirmed (per 100k),1.441,0.173,0.120,2.845,2,4,6,-1
San Marino,,Confirmed (per 100k),1358.640,41.681,0.030679,19.052,5,0,5,0
Andorra,,Confirmed (per 100k),922.798,19.044,0.020637,31.207,5,0,5,0
