location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Nebraska,,Confirmed (per 100k),125.310,10.029,0.080033,6.024,5,2,7,1
Massachusetts,,Confirmed (per 100k),739.485,34.338,0.046434,11.937,5,1,6,0
Connecticut,,Confirmed (per 100k),671.363,28.557,0.042536,13.771,5,1,6,0
Rhode Island,,Confirmed (per 100k),632.362,34.010,0.053782,10.254,5,1,6,0
District of Columbia,,Confirmed (per 100k),499.894,21.294,0.042598,13.869,5,1,6,0
Delaware,,Confirmed (per 100k),353.474,16.504,0.046692,12.405,5,1,6,0
Illinois,,Confirmed (per 100k),312.962,13.619,0.043515,13.180,5,1,6,0
Maryland,,Confirmed (per 100k),274.841,11.919,0.043366,13.417,5,1,6,0
South Dakota,,Confirmed (per 100k),230.597,10.157,0.044048,13.393,5,1,6,0
Colorado,,Confirmed (per 100k),212.824,8.844,0.041554,13.923,5,1,6,1
Mississippi,,Confirmed (per 100k),182.585,7.877,0.043141,13.571,5,1,6,0
Iowa,,Confirmed (per 100k),140.884,9.567,0.067909,7.630,5,1,6,0
Virginia,,Confirmed (per 100k),135.832,6.867,0.050556,11.150,5,1,6,0
Ohio,,Confirmed (per 100k),129.770,7.409,0.057090,10.220,5,1,6,0
New Mexico,,Confirmed (per 100k),120.229,6.295,0.052360,10.673,5,1,6,1
Kansas,,Confirmed (per 100k),101.568,6.027,0.059335,8.644,5,1,6,1
North Dakota,,Confirmed (per 100k),98.155,6.655,0.067800,8.474,5,1,6,0
Arkansas,,Confirmed (per 100k),93.114,5.278,0.056685,9.081,5,1,6,1
New York,,Confirmed (per 100k),1396.094,35.175,0.025195,25.216,5,0,5,0
New Jersey,,Confirmed (per 100k),1150.572,38.165,0.033170,18.521,5,0,5,0
Louisiana,,Confirmed (per 100k),562.296,9.287,0.016515,39.567,5,0,5,0
Michigan,,Confirmed (per 100k),366.892,9.467,0.025802,24.033,5,0,5,0
Pennsylvania,,Confirmed (per 100k),314.076,11.516,0.036666,16.334,5,0,5,0
Georgia,,Confirmed (per 100k),211.831,7.127,0.033645,18.082,5,0,5,0
Indiana,,Confirmed (per 100k),203.217,7.484,0.036829,16.315,5,0,5,0
California,,Confirmed (per 100k),104.664,4.410,0.042137,13.819,4,1,5,1
Kentucky,,Confirmed (per 100k),84.585,4.019,0.047518,12.089,4,1,5,0
Wyoming,,Confirmed (per 100k),81.727,4.147,0.050740,11.017,4,1,5,0
Minnesota,,Confirmed (per 100k),56.475,2.824,0.050011,11.120,4,1,5,0
Washington,,Confirmed (per 100k),170.416,2.739,0.016072,40.958,4,0,4,0
Nevada,,Confirmed (per 100k),142.785,4.054,0.028390,21.705,4,0,4,0
Florida,,Confirmed (per 100k),142.161,3.841,0.027015,23.088,4,0,4,0
Vermont,,Confirmed (per 100k),132.534,1.099,0.008292,82.325,4,0,4,0
Tennessee,,Confirmed (per 100k),127.805,4.922,0.038513,15.169,4,0,4,0
New Hampshire,,Confirmed (per 100k),126.497,4.549,0.035963,16.695,4,0,4,-2
Alabama,,Confirmed (per 100k),122.900,4.239,0.034493,17.491,4,0,4,0
Utah,,Confirmed (per 100k),117.968,4.407,0.037357,16.005,4,0,4,0
Missouri,,Confirmed (per 100k),110.600,3.298,0.029822,20.612,4,0,4,0
Idaho,,Confirmed (per 100k),104.641,2.086,0.019939,32.060,4,0,4,0
South Carolina,,Confirmed (per 100k),98.471,2.694,0.027360,22.684,4,0,4,0
Wisconsin,,Confirmed (per 100k),91.989,3.197,0.034754,17.164,4,0,4,0
Arizona,,Confirmed (per 100k),83.050,3.011,0.036252,16.492,4,0,4,0
Texas,,Confirmed (per 100k),81.536,2.854,0.035004,17.109,4,0,4,0
North Carolina,,Confirmed (per 100k),79.042,3.058,0.038687,15.262,4,0,4,0
Oklahoma,,Confirmed (per 100k),78.873,2.368,0.030027,20.310,4,0,4,0
Maine,,Confirmed (per 100k),71.789,1.467,0.020429,31.226,4,0,4,0
West Virginia,,Confirmed (per 100k),56.357,1.873,0.033239,18.573,4,0,4,0
Oregon,,Confirmed (per 100k),51.615,1.328,0.025723,24.545,4,0,4,0
Puerto Rico,,Confirmed (per 100k),44.337,1.557,0.035109,17.599,4,0,4,0
Guam,,Confirmed (per 100k),83.543,0.423,0.005066,132.737,3,0,3,1
Alaska,,Confirmed (per 100k),46.340,0.586,0.012642,52.655,3,0,3,0
Hawaii,,Confirmed (per 100k),42.447,0.605,0.014262,47.168,3,0,3,0
Montana,,Confirmed (per 100k),41.543,0.294,0.007079,95.874,3,0,3,0
